# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = weights_4.data.R
# init = 2 (Default)
# random
#   seed = 3673735537
# output
#   file = weights_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.832447
# Diagonal elements of inverse mass matrix:
# 0.0861638, 0.00160489, 0.00125698
-747.785,0.943894,0.832447,3,15,0,749.345,154.132,0.878834,4.98431
-747.159,0.999596,0.832447,2,7,0,748.5,154.446,0.875973,4.84529
-749.128,0.851333,0.832447,2,3,0,749.609,154.709,0.911644,5.5989
-750.926,0.793087,0.832447,2,3,0,753.189,155.331,0.948896,5.40042
-752.265,0.907128,0.832447,3,11,0,755.863,153.929,0.916003,4.66458
-751.72,0.988521,0.832447,3,11,0,753.042,155.273,0.894292,5.60665
-749.431,1,0.832447,2,3,0,752.706,154.15,0.962267,4.82369
-747.865,0.987577,0.832447,2,7,0,750.283,155.103,0.92779,5.04111
-746.75,1,0.832447,2,3,0,748.028,154.368,0.864388,5.10935
-747.722,0.778598,0.832447,2,3,0,749.192,155.041,0.916762,5.28157
-748.724,0.883958,0.832447,2,3,0,749.492,154.017,0.893388,4.92875
-746.649,1,0.832447,2,3,0,748.91,154.64,0.940161,5.25293
-746.649,0.571176,0.832447,2,3,0,750.721,154.64,0.940161,5.25293
-746.463,1,0.832447,2,3,0,746.702,154.545,0.933195,5.23466
-747.385,0.908286,0.832447,2,7,0,747.896,154.18,0.888286,5.22212
-747.296,0.966695,0.832447,2,7,0,748.501,154.501,0.858991,5.32681
-748.074,0.901211,0.832447,2,3,0,749.1,154.999,0.843943,5.08988
-746.214,1,0.832447,2,3,0,748.023,154.625,0.901871,5.22736
-746.056,0.998106,0.832447,4,31,0,746.333,154.563,0.884624,5.10627
-747.401,0.897264,0.832447,3,7,0,747.412,154.548,0.840999,5.25
-748.585,0.855735,0.832447,2,3,0,749.686,154.887,0.822967,5.23931
-746.982,1,0.832447,2,3,0,749.043,154.484,0.901854,5.35969
-747.053,0.944262,0.832447,2,3,0,747.952,154.316,0.907575,5.30318
-747.479,0.958468,0.832447,2,7,0,748.289,154.548,0.943591,5.38691
-748.276,0.572713,0.832447,2,3,0,753.328,154.141,0.858562,5.27108
-747.886,0.998537,0.832447,3,11,0,748.956,154.182,0.888633,5.33651
-749.072,0.908454,0.832447,2,3,0,750.188,155.028,0.97927,4.96419
-747.373,0.97265,0.832447,2,3,0,750.202,154.569,0.973751,5.19121
-747.698,0.963193,0.832447,4,15,0,748.059,154.486,0.98112,5.17105
-747.507,0.954063,0.832447,6,107,0,749.337,154.519,0.90875,4.76092
-749.685,0.880686,0.832447,2,3,0,749.827,154.456,0.938804,4.62942
-746.928,0.987777,0.832447,2,3,0,750.38,154.832,0.898365,4.87861
-751.811,0.55311,0.832447,2,3,0,752.865,154.097,0.929201,4.60447
-746.587,0.894353,0.832447,2,3,0,753.091,154.473,0.942062,4.97536
-747.82,0.746444,0.832447,2,3,0,748.887,154.068,0.907538,5.1069
-749.36,0.925612,0.832447,2,7,0,750.854,154.468,0.921382,5.61287
-746.117,1,0.832447,2,3,0,749.004,154.741,0.893546,5.11672
