# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = weights_2.data.R
# init = 2 (Default)
# random
#   seed = 3673735522
# output
#   file = weights_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.811094
# Diagonal elements of inverse mass matrix:
# 0.0730555, 0.00148327, 0.00148001
-746.456,1,0.811094,2,3,0,747.386,154.518,0.926966,4.92399
-747.186,0.92658,0.811094,2,3,0,747.379,154.795,0.889038,5.35676
-747.236,0.994586,0.811094,3,15,0,747.367,154.764,0.900017,5.38285
-748.159,0.931326,0.811094,4,23,0,749.112,154.632,0.858608,5.45428
-748.127,0.983684,0.811094,2,3,0,749.663,154.792,0.821893,5.09979
-747.374,0.971262,0.811094,3,7,0,749.387,154.861,0.945557,5.29399
-746.716,1,0.811094,2,3,0,747.372,154.456,0.883125,4.89281
-747.308,0.95522,0.811094,2,3,0,747.453,154.731,0.923506,5.39018
-749.142,0.850133,0.811094,2,3,0,750.162,154.766,0.989896,5.39647
-747.828,0.964543,0.811094,2,7,0,750.802,154.767,0.828255,5.04713
-747.1,0.917874,0.811094,3,7,0,749.72,154.731,0.92748,5.35383
-747.197,0.959867,0.811094,6,99,0,748.43,154.639,0.85732,5.31016
-746.885,1,0.811094,3,7,0,747.682,154.86,0.93227,5.23649
-747.295,0.71352,0.811094,1,3,0,751.805,154.532,0.857527,4.86868
-746.9,0.956786,0.811094,2,3,0,748.294,154.891,0.886627,4.94543
-746.332,1,0.811094,3,7,0,746.973,154.728,0.930844,4.9964
-746.196,0.983048,0.811094,2,7,0,746.731,154.585,0.874103,5.09826
-746.482,0.777037,0.811094,4,23,0,749.284,154.742,0.887802,5.24321
-746.775,0.973552,0.811094,4,27,0,747.29,154.728,0.93507,5.27893
-746.775,0.575208,0.811094,2,7,0,754.72,154.728,0.93507,5.27893
-747.297,0.934,0.811094,1,1,0,747.326,154.761,0.948227,5.31899
-748.02,0.839095,0.811094,3,11,0,750.696,154.44,0.841433,4.86558
-748.51,0.905874,0.811094,1,1,0,748.793,154.347,0.840744,4.84195
-747.284,1,0.811094,2,3,0,749.015,154.632,0.958536,5.29829
-748.531,0.9352,0.811094,2,3,0,748.727,154.455,0.978532,5.38021
-747.042,0.983197,0.811094,2,3,0,749.364,154.387,0.855214,5.00159
-746.002,0.895329,0.811094,4,31,0,749.102,154.525,0.91498,5.04463
-747.305,0.680706,0.811094,2,3,0,750.238,154.736,0.84616,4.95647
-747.555,0.891673,0.811094,2,7,0,749.305,154.928,0.862277,5.26788
-747.648,0.989035,0.811094,5,47,0,748.527,154.818,0.863459,5.36092
-747.574,0.993586,0.811094,3,7,0,748.572,154.346,0.898305,4.80107
-748.836,0.89848,0.811094,5,43,0,750.364,154.712,0.837568,5.45639
-747.005,1,0.811094,3,7,0,749.36,154.643,0.906641,4.81139
-746.58,0.824878,0.811094,3,15,0,749.19,154.384,0.883448,4.96151
-746.412,0.98208,0.811094,2,3,0,746.9,154.678,0.921132,5.2509
-746.071,0.993795,0.811094,2,3,0,746.506,154.653,0.915991,5.16434
-747.691,0.552869,0.811094,2,3,0,753.216,154.536,0.923897,4.75212
-746.878,0.958261,0.811094,2,3,0,748.771,154.75,0.870302,5.27535
-746.503,0.882769,0.811094,2,3,0,748.396,154.6,0.872924,4.94068
-748.1,0.857989,0.811094,3,7,0,748.317,154.631,0.921071,5.4998
-748.196,0.930353,0.811094,2,3,0,750.06,154.209,0.898655,5.41206
-746.467,0.991172,0.811094,2,7,0,748.442,154.63,0.908132,5.28434
-746.304,0.999629,0.811094,4,19,0,746.717,154.392,0.899484,5.00387
-747.197,0.871481,0.811094,4,19,0,747.96,154.752,0.948293,5.30362
-749.827,0.895143,0.811094,4,27,0,750.007,154.215,0.985598,4.84712
-747.013,0.817761,0.811094,2,3,0,753.122,154.952,0.880496,5.16369
-746.287,1,0.811094,2,3,0,747.146,154.78,0.88527,5.03826
-748.9,0.737119,0.811094,2,3,0,749.711,155.029,0.894483,4.76462
-747.278,1,0.811094,2,3,0,749.282,154.873,0.86244,4.94265
-746.481,0.983489,0.811094,2,3,0,747.868,154.748,0.927998,4.94921
-746.488,0.993797,0.811094,5,39,0,746.892,154.809,0.916196,4.95786
-746.56,0.990125,0.811094,4,23,0,747.032,154.698,0.939033,4.95403
-746.842,0.884377,0.811094,4,27,0,748.448,154.476,0.872884,5.28869
-746.854,0.998829,0.811094,4,31,0,747.358,154.402,0.867506,5.23416
-747.931,0.875396,0.811094,2,3,0,748.679,154.355,0.88674,5.43971
-747.57,0.999808,0.811094,3,11,0,748.255,154.857,0.921946,4.81381
-746.167,0.994409,0.811094,2,3,0,747.742,154.756,0.920193,5.05817
-747.837,0.688809,0.811094,2,3,0,750.067,154.553,0.985975,5.17035
-748.448,0.942456,0.811094,3,7,0,749.761,154.132,0.843714,5.13472
-747.939,0.990508,0.811094,4,19,0,749.817,154.074,0.923749,5.17514
-753.19,0.654396,0.811094,2,3,0,753.932,155.484,0.819983,5.19278
-746.663,0.967986,0.811094,3,7,0,753.586,154.323,0.932898,5.11834
-746.719,0.859313,0.811094,2,7,0,748.611,154.689,0.872079,4.91106
-746.681,0.957554,0.811094,5,59,0,747.677,154.341,0.904035,4.9377
-746.766,0.961093,0.811094,2,3,0,747.581,154.615,0.869805,4.89969
