# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = m12.6.1_2.data.R
# init = 2 (Default)
# random
#   seed = 2734807180
# output
#   file = m12.6.1_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bp,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,sigma_society
# Adaptation terminated
# Step size = 0.0543365
# Diagonal elements of inverse mass matrix:
# 0.525101, 0.00616893, 0.0603012, 0.0467378, 0.0344697, 0.0324123, 0.0300848, 0.04249, 0.0276853, 0.0337597, 0.0267791, 0.0779249, 0.17015
930.712,0.987969,0.0543365,6,127,0,-925.033,1.46826,0.226307,-0.385179,-0.0395819,-0.394177,0.0972023,-0.132027,-0.294237,0.0933345,-0.159034,0.336009,-0.0165223,0.226341
927.943,0.644225,0.0543365,6,63,0,-922.273,0.806967,0.319173,-0.0880244,-0.115691,0.132503,0.265468,-0.0357902,-0.469491,-0.186387,-0.465404,0.0188236,-0.474106,0.273728
925.687,0.629894,0.0543365,6,63,0,-919.798,0.839502,0.313562,-0.0389507,0.0184601,0.0665246,0.331513,-0.062866,-0.524992,-0.240235,-0.433402,0.065825,-0.606263,0.232181
922.751,0.996935,0.0543365,6,63,0,-916.862,0.427426,0.349566,-0.12565,0.265038,-0.0272639,0.195447,-0.195161,-0.401697,0.400924,-0.61986,0.107179,-0.722958,0.579511
925.812,0.878923,0.0543365,6,63,0,-914.19,0.421279,0.331056,0.043105,0.171223,-0.0715475,0.613048,0.211554,-0.389799,-0.122373,-0.0960173,0.250687,-0.535354,0.426323
927.174,0.989426,0.0543365,5,31,0,-920.657,-0.201617,0.402578,0.0351675,0.220643,-0.0853245,0.617755,0.30347,-0.353925,-0.0840611,-0.168695,0.36794,-0.637887,0.343174
924.918,0.811219,0.0543365,6,63,0,-920.689,-0.520261,0.429218,0.137699,0.27214,-0.0850806,0.641039,0.256275,-0.403747,-0.0555298,-0.349765,0.412745,-0.663275,0.29663
925.257,0.978286,0.0543365,6,63,0,-917.652,0.593157,0.314983,-0.168989,0.0318807,0.107236,0.268982,-0.0761676,-0.151276,0.16524,0.0547755,-0.204924,-0.262492,0.254664
924.701,0.999067,0.0543365,6,63,0,-918.618,0.763222,0.301611,-0.420387,0.187296,0.154118,0.317336,-0.198185,-0.0400469,0.225144,-0.0561883,-0.0736563,-0.0962477,0.301833
929.753,0.857376,0.0543365,6,63,0,-919.331,1.21886,0.261205,-0.127961,-0.0981817,-0.430441,0.24147,-0.00265474,-0.511268,0.101697,-0.172615,0.201153,-0.0965436,0.191784
929.392,0.923774,0.0543365,6,63,0,-924.499,1.54852,0.218905,-0.187008,0.0629336,0.0454359,0.495868,0.185681,-0.255999,-0.0690393,-0.13828,0.147832,0.0130915,0.291634
927.365,0.999454,0.0543365,5,31,0,-924.921,1.48159,0.22175,-0.161493,0.0710761,0.0504518,0.58949,0.224795,-0.174586,-0.120293,-0.132323,0.116393,0.0549647,0.273105
