# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = m12.6_3.data.R
# init = 2 (Default)
# random
#   seed = 2734546154
# output
#   file = m12.6_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,bp,sigma_society,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10
# Adaptation terminated
# Step size = 0.0488067
# Diagonal elements of inverse mass matrix:
# 0.451034, 0.0617125, 0.043273, 0.0331972, 0.031435, 0.0361916, 0.0438955, 0.0275667, 0.031902, 0.027685, 0.0656174, 0.00519904, 0.132134
-40.3454,0.833811,0.0488067,6,127,0,53.2022,2.46918,-0.465389,-0.149482,-0.264366,0.212323,-0.0764969,-0.438315,-0.0539249,-0.184885,0.430177,0.491616,0.106943,0.528236,-2.45204,-2.46952,-2.62193,-3.41219,-3.02789,-2.41736,-4.37298,-2.60484,-3.03151,-3.10207
-44.5663,0.983603,0.0488067,5,63,0,50.2265,2.14434,-0.364808,-0.139344,-0.00681872,0.196409,0.0171092,-0.590587,-0.149518,-0.179617,0.36787,0.515348,0.149042,0.635108,-2.68149,-2.46842,-2.92429,-3.30725,-2.67057,-2.42005,-4.7649,-2.61596,-2.9654,-5.75176
-42.3915,0.990066,0.0488067,6,63,0,50.4491,2.06668,-0.668456,-0.172068,0.0324592,0.07179,0.222079,-0.400334,0.145831,-0.19613,0.410889,-0.171041,0.164558,0.354583,-2.20915,-2.46879,-3.46021,-3.84042,-3.87219,-2.80567,-2.77863,-2.72455,-3.0957,-6.06143
-41.4777,0.994453,0.0488067,6,127,0,46.9911,1.2403,-0.581184,-0.486085,-0.116313,0.173183,0.0416211,-0.203436,0.00788772,-0.194334,0.32607,0.0639005,0.251526,0.341803,-2.33703,-4.78914,-2.51181,-3.73744,-2.68125,-3.73134,-3.16648,-2.72238,-2.93159,-4.44455
-40.2642,0.995556,0.0488067,6,63,0,45.9729,1.83156,0.0713294,0.214738,0.0310406,0.25253,0.00277957,-0.247272,0.227075,-0.0595041,0.216515,0.348574,0.172218,0.139743,-4.53326,-3.01375,-2.62274,-3.74992,-2.92823,-2.75183,-2.8324,-2.66075,-4.84806,-3.25295
-37.1099,0.996181,0.0488067,6,63,0,42.2555,0.770931,-0.377801,-0.23191,-0.157846,0.180984,-0.0539668,-0.228138,-0.0659997,-0.237781,0.174213,-0.19033,0.308972,0.220353,-2.20824,-3.3236,-2.52588,-3.53744,-2.6815,-3.91667,-3.27497,-2.82654,-2.97551,-4.38354
