# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = m12.6_1.data.R
# init = 2 (Default)
# random
#   seed = 2734546146
# output
#   file = m12.6_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,bp,sigma_society,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10
# Adaptation terminated
# Step size = 0.0533396
# Diagonal elements of inverse mass matrix:
# 0.479887, 0.0528139, 0.0439202, 0.0343494, 0.0379799, 0.0351818, 0.0527558, 0.0308842, 0.0347243, 0.0280205, 0.0685443, 0.00550365, 0.167631
-42.8034,0.983905,0.0533396,6,63,0,50.2994,0.657323,-0.395846,0.0134176,-0.126985,-0.132168,0.155693,-0.12679,0.174368,-0.431182,0.159558,-0.253918,0.320446,0.344452,-2.23028,-2.53151,-2.51811,-7.7333,-3.18362,-4.82016,-2.8587,-2.65613,-3.02023,-3.94022
-41.6234,0.978425,0.0533396,6,63,0,49.9711,0.608618,0.0487188,-0.317116,-0.00792827,0.565263,-0.130753,-0.543618,-0.0639546,-0.454403,0.118372,-0.257965,0.320182,0.302059,-3.02419,-4.46015,-2.53556,-3.15795,-3.10059,-2.39558,-3.68153,-2.86865,-3.5299,-3.40452
-40.5847,0.948169,0.0533396,6,63,0,48.1945,0.336293,-0.0763147,0.481506,-0.0384658,0.285666,0.396168,-0.149191,0.272788,0.117497,0.426333,-0.261906,0.325662,0.250045,-2.21164,-2.60229,-3.0214,-5.53962,-2.99577,-2.68442,-2.9885,-3.22823,-3.03102,-3.46219
-38.2554,0.999616,0.0533396,6,127,0,45.119,0.957058,-0.252352,0.257484,-0.108121,0.267536,0.394177,-0.242952,0.253162,0.0600038,0.269253,-0.0443317,0.271375,0.322131,-2.21848,-2.60162,-2.64383,-3.91764,-4.01397,-2.8391,-2.76553,-3.58513,-3.36735,-3.13771
-40.9573,0.98957,0.0533396,6,127,0,49.8618,0.362168,-0.199971,-0.0349406,-0.0894826,0.223644,0.425361,-0.284317,0.0445306,-0.0821313,0.227997,-0.261968,0.343863,0.386277,-2.20801,-3.09733,-2.60492,-4.14972,-5.01279,-2.90884,-3.15965,-3.21966,-3.01375,-3.82693
-39.4118,0.936432,0.0533396,6,63,0,45.384,0.977068,0.0423549,0.226878,0.107767,0.43037,-0.250247,-0.0739278,0.27676,-0.126862,0.292366,0.0696587,0.271945,0.28928,-3.15505,-2.58597,-2.73568,-2.8526,-4.44398,-4.16579,-2.8103,-2.71585,-3.09981,-4.41863
-46.9109,0.981655,0.0533396,6,63,0,57.6363,0.467147,-0.126401,-0.266316,-0.508493,0.385132,-0.142098,-0.528253,0.0857759,0.143093,0.472089,-0.307953,0.32318,0.378331,-2.21786,-5.04799,-5.7952,-3.38998,-3.95053,-2.48939,-3.4185,-4.40001,-3.15038,-3.16001
-47.8067,0.980028,0.0533396,6,63,0,56.5218,1.44573,-0.167707,0.130641,0.0875249,0.0355319,0.00750233,-0.140935,0.0487192,-0.737429,-0.163658,-0.04397,0.228958,0.267945,-2.93335,-2.76454,-3.19827,-5.02305,-2.66991,-4.31352,-2.9774,-5.09306,-8.53344,-3.05304
-36.9218,0.902865,0.0533396,5,31,0,53.0323,0.738608,-0.245698,0.0565952,-0.0589559,0.116054,-0.0740535,-0.37638,0.0473666,-0.406626,-0.0531698,-0.41834,0.313119,0.26542,-2.30654,-2.46863,-2.56428,-4.0687,-2.69883,-2.94809,-2.8055,-2.60415,-4.66654,-3.06662
-40.3122,0.991024,0.0533396,6,63,0,42.7661,0.329548,-0.305738,0.220831,-0.350936,0.291139,-0.122291,-0.220581,0.114007,-0.474569,-0.00612839,-0.42351,0.352415,0.241205,-2.24177,-2.48318,-3.57747,-3.28602,-3.0208,-3.56698,-2.78195,-2.84605,-4.39847,-3.1698
-39.6108,0.947655,0.0533396,6,127,0,47.8317,1.74262,-0.191149,-0.0942233,0.265075,0.238488,0.152851,-0.369442,0.23667,-0.241916,0.396966,-0.0730167,0.200003,0.26115,-3.32097,-2.47268,-5.59395,-2.95312,-3.24331,-2.92044,-3.04443,-2.64488,-3.13479,-3.31932
