# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = m12.6.1_4.data.R
# init = 2 (Default)
# random
#   seed = 2734807194
# output
#   file = m12.6.1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bp,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,sigma_society
# Adaptation terminated
# Step size = 0.0494042
# Diagonal elements of inverse mass matrix:
# 0.530596, 0.00618034, 0.0595547, 0.0492214, 0.0363311, 0.0394531, 0.0320716, 0.0417045, 0.0305178, 0.0340345, 0.0337998, 0.07944, 0.229852
929.083,0.922061,0.0494042,6,63,0,-925.653,0.662776,0.29675,-0.395092,0.147028,0.145206,0.523526,0.00084481,-0.22803,0.463342,-0.230956,0.303183,-0.232312,0.282837
930.693,0.919528,0.0494042,6,63,0,-925.491,1.27585,0.237875,0.0323302,0.194622,0.0197262,0.29354,0.125542,-0.272005,0.13894,0.0698638,0.502738,-0.0328771,0.278551
929.273,0.983987,0.0494042,6,63,0,-924.658,0.945972,0.282553,-0.266846,0.156743,-0.343602,0.443229,0.1085,-0.353119,0.392063,-0.364417,0.21975,-0.254987,0.298713
930.638,0.981086,0.0494042,6,63,0,-925.216,0.687039,0.303309,-0.212948,0.162659,-0.362613,0.368239,0.128979,-0.350787,0.264852,-0.221402,0.281722,-0.121492,0.33657
928.091,0.67917,0.0494042,6,63,0,-920.195,2.02181,0.158009,-0.521643,-0.0912936,0.277824,0.143646,0.102012,-0.164333,0.236626,-0.0749018,0.348075,0.183239,0.320058
927.587,0.940311,0.0494042,6,63,0,-920.191,2.32738,0.132994,-0.426207,0.0435386,-0.361965,0.109967,-0.172507,-0.215338,0.0761038,-0.0694457,0.191203,0.321997,0.176701
929.791,0.902488,0.0494042,6,63,0,-919.863,2.30188,0.129758,-0.0821208,-0.111188,-0.296994,0.112617,0.0691924,-0.148592,0.189812,-0.149542,0.202444,0.200292,0.151824
930.567,0.633038,0.0494042,6,63,0,-919.474,1.33648,0.226868,-0.336888,-0.139322,-0.061035,0.446982,-0.0844257,-0.291331,0.224549,-0.132913,0.363338,0.23729,0.323929
