# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = m12.6.1_1.data.R
# init = 2 (Default)
# random
#   seed = 2734807180
# output
#   file = m12.6.1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bp,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,sigma_society
# Adaptation terminated
# Step size = 0.0572729
# Diagonal elements of inverse mass matrix:
# 0.40798, 0.00475393, 0.0523042, 0.043856, 0.0336144, 0.0335777, 0.0325257, 0.0432052, 0.0293926, 0.0320201, 0.0296878, 0.0624689, 0.149645
925.986,0.999005,0.0572729,5,63,0,-921.738,-0.0651902,0.390601,-0.406619,0.139146,-0.283851,0.232905,0.149616,-0.240722,0.264483,-0.0735014,0.384257,-0.392969,0.334348
926.942,1,0.0572729,6,63,0,-921.72,0.87392,0.290422,-0.227356,0.468827,0.176101,0.462091,0.157222,-0.459946,0.317845,-0.276755,0.0773122,-0.259009,0.295411
928.619,0.945741,0.0572729,6,63,0,-916.479,0.516168,0.322464,-0.0385518,-0.242778,-0.0641799,0.335228,0.0750489,-0.285799,0.25132,0.0856841,0.333526,-0.282374,0.361372
930.92,0.992454,0.0572729,6,63,0,-925.631,1.04453,0.266305,0.0856548,0.118682,-0.0906453,0.503518,0.0552928,-0.284149,0.113357,-0.318316,0.20552,0.00321111,0.193121
930.835,0.926933,0.0572729,5,63,0,-924.897,0.980681,0.276731,-0.219419,0.000326111,-0.132195,0.11975,-0.109625,-0.155772,0.0781153,0.139204,0.142342,-0.0934181,0.197178
927.726,0.829036,0.0572729,6,63,0,-922.903,1.4087,0.22996,-0.28309,-0.0565144,0.0222775,0.135455,-0.0879751,-0.337075,-0.197259,0.0694081,0.0485061,-0.14462,0.214782
932.281,0.989663,0.0572729,5,31,0,-922.17,1.21391,0.236989,-0.0822168,-0.0517799,0.0804464,0.277824,0.0949205,-0.313296,0.23171,-0.239393,0.284127,-0.00526724,0.202546
933.672,0.930983,0.0572729,5,63,0,-928.81,1.1713,0.256356,-0.0892857,0.118618,-0.0781132,0.209426,0.107016,-0.0238818,0.122005,0.0487012,0.1389,-0.0359592,0.139601
934.329,0.961036,0.0572729,6,95,0,-929.883,1.25557,0.24385,-0.0737882,0.0278334,0.087441,0.284101,0.120857,-0.0841001,0.0976877,0.0162205,0.1978,-0.0417825,0.154577
934.19,0.961896,0.0572729,6,63,0,-930.882,1.1382,0.254171,-0.0907952,0.0607158,-0.133802,0.220791,0.0184201,-0.234727,0.209645,-0.156725,0.350733,-0.0206693,0.210407
929.956,0.670949,0.0572729,6,63,0,-924.131,2.07473,0.14701,-0.278958,-0.121717,-0.228632,0.352511,0.159657,-0.187844,0.264353,0.0749597,0.223007,0.212452,0.199794
930.34,0.986204,0.0572729,6,63,0,-926.723,1.95955,0.164683,-0.217937,0.0625197,-0.291655,0.13151,-0.0824906,-0.265716,0.0641273,-0.256683,0.407355,0.255604,0.269123
925.76,0.947538,0.0572729,5,31,0,-920.456,1.77012,0.190774,-0.0900975,-0.227792,-0.282554,0.331053,0.112149,-0.542143,0.0175391,-0.147262,0.494552,-0.0602129,0.18763
925.963,0.918517,0.0572729,6,63,0,-915.471,2.47934,0.122863,-0.0546281,-0.134243,-0.393063,0.180497,0.0426716,-0.2995,-0.0884446,-0.379861,0.326692,0.372152,0.286124
929.95,0.756376,0.0572729,5,31,0,-918.182,1.81817,0.177385,-0.351149,-0.0311918,-0.211358,0.209223,-0.0521929,-0.345733,0.135885,-0.15969,0.348892,-0.0404425,0.289424
927.999,0.904146,0.0572729,5,31,0,-923.9,2.03151,0.177191,-0.141488,-0.259294,-0.157728,-0.0173218,0.115873,-0.530364,-0.0361045,-0.279616,0.153854,0.172652,0.227239
928.808,0.970023,0.0572729,6,63,0,-920.242,0.959851,0.254886,-0.374111,0.228184,-0.0135794,0.599011,-0.0359773,-0.0434488,0.352763,0.089806,0.436993,0.133044,0.36852
928.757,0.886613,0.0572729,5,63,0,-924.012,1.15159,0.247254,-0.226684,0.0116404,-0.01875,0.512045,-0.122415,0.00733265,0.410692,0.0540463,0.433667,0.0452795,0.231372
928.944,0.913644,0.0572729,6,63,0,-924.159,0.558909,0.326099,-0.234325,0.258849,0.0455336,0.225339,0.264007,-0.583327,-0.0590383,-0.320064,0.160377,-0.277448,0.352544
929.255,0.966942,0.0572729,6,63,0,-921.686,0.990168,0.285567,-0.476192,-0.0999362,-0.475558,0.299788,-0.0803758,-0.31099,0.110224,-0.352497,0.17932,-0.151297,0.330117
927.311,0.95275,0.0572729,6,63,0,-923.995,1.4252,0.243999,-0.48679,-0.132481,-0.318788,0.355873,0.27686,-0.32966,0.0680086,-0.456164,0.106229,-0.261498,0.361665
925.807,0.999969,0.0572729,6,63,0,-920.384,2.97908,0.0479278,-0.414532,-0.024122,0.0759847,0.314803,-0.183477,-0.300546,0.285797,0.134384,0.389936,0.693643,0.375296
925.497,0.765511,0.0572729,6,63,0,-917.474,2.59686,0.0874146,-0.380849,0.113056,-0.113647,0.145544,-0.0780256,-0.358445,0.375214,0.131467,0.640126,0.637872,0.465065
926.686,0.896806,0.0572729,6,63,0,-920.667,2.96101,0.063382,-0.767525,-0.160831,-0.232111,0.454383,0.136041,-0.286428,0.29624,-0.208556,0.424253,0.445717,0.383657
927.806,0.850736,0.0572729,6,63,0,-919.7,1.82924,0.17027,-0.464288,0.0140689,-0.045315,0.24608,0.0413035,-0.493258,0.10055,-0.0251216,0.442156,0.0369969,0.387176
925.099,0.993353,0.0572729,6,63,0,-920.736,2.68498,0.06995,-0.43725,-0.0401069,-0.24968,0.46327,0.107081,-0.173037,0.363896,-0.126425,0.451157,0.322904,0.280324
928.698,0.99671,0.0572729,6,63,0,-920.644,1.88548,0.165788,-0.430242,-0.372738,0.0362442,0.371011,0.132958,-0.325806,0.160577,-0.211581,0.422616,0.410233,0.277593
