# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = m12.6_4.data.R
# init = 2 (Default)
# random
#   seed = 2734546159
# output
#   file = m12.6_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,bp,sigma_society,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10
# Adaptation terminated
# Step size = 0.0546569
# Diagonal elements of inverse mass matrix:
# 0.474103, 0.0579013, 0.0512835, 0.0394937, 0.0366622, 0.0316326, 0.0427659, 0.030978, 0.0319204, 0.0296349, 0.0678241, 0.00525928, 0.165174
-34.5978,0.998101,0.0546569,5,31,0,40.5736,0.964758,0.0902353,0.0620331,0.0148476,0.270982,0.235147,-0.160726,0.12916,-0.0408871,0.331588,-0.0953856,0.269793,0.15614,-3.27405,-2.55701,-2.51284,-3.93824,-2.86572,-3.24149,-3.10193,-2.90742,-3.07549,-3.05865
-36.5348,0.974383,0.0546569,5,63,0,41.6589,0.815524,-0.00216854,-0.115053,0.0197662,0.342426,0.037671,-0.147671,0.262432,-0.399306,0.299497,-0.0943748,0.292589,0.192054,-2.84433,-3.10579,-2.54595,-3.11735,-2.69152,-3.73157,-2.83775,-2.8663,-2.95506,-3.6113
-36.4022,0.930912,0.0546569,5,63,0,41.2998,0.703263,-0.0183556,0.004021,-0.0914289,0.380048,0.0407718,-0.276038,0.185049,-0.428923,0.285788,-0.152372,0.30754,0.183821,-2.7423,-2.65903,-2.5385,-2.90924,-2.6723,-3.02439,-2.76627,-2.86725,-2.92921,-3.78092
-35.4819,0.970035,0.0546569,5,63,0,41.0379,0.768871,-0.235506,-0.0812703,-0.0914421,0.440143,0.136318,-0.391012,0.122909,-0.321448,0.336377,-0.274969,0.303834,0.320896,-2.26993,-2.80942,-2.51334,-2.81259,-2.899,-2.66574,-2.77691,-2.58863,-3.04794,-3.09959
-41.2913,0.998791,0.0546569,5,31,0,44.0896,0.833512,0.019953,0.302083,0.123952,0.35939,0.339978,-0.17184,0.218432,0.020882,-0.0771393,-0.0464702,0.278986,0.198397,-2.62211,-2.54971,-2.56156,-3.63863,-3.1302,-2.91244,-2.92493,-2.99072,-9.34099,-3.06371
-40.9208,0.754392,0.0546569,6,63,0,48.1867,0.660826,-0.118719,0.165934,-0.0265778,0.57108,-0.0297973,-0.369779,0.246669,-0.137021,0.677694,-0.294574,0.308254,0.408437,-2.33346,-2.46933,-2.51602,-2.95377,-2.89502,-2.53068,-2.7862,-2.76904,-6.55914,-3.09616
-46.0789,0.853368,0.0546569,5,31,0,53.1497,0.721909,-0.155921,0.145447,-0.11732,0.645584,-0.0655481,-0.239782,0.377353,-0.0899995,0.696321,-0.480247,0.289319,0.329025,-2.21266,-2.59167,-2.97995,-2.87555,-3.71364,-2.58468,-2.81835,-2.61111,-4.60624,-7.9842
-44.2446,0.999759,0.0546569,6,127,0,52.6257,1.51305,-0.0653247,-0.336865,0.234596,0.484434,-0.0357917,-0.427288,0.332308,-0.125461,0.250275,0.470714,0.203724,0.393047,-2.89982,-4.20105,-3.2473,-2.83096,-3.31337,-2.4028,-2.77052,-2.59107,-4.55272,-5.94701
-43.3634,0.95556,0.0546569,6,63,0,54.2403,0.115916,-0.143663,0.55359,-0.319713,0.45334,-0.0352743,-0.13964,0.0350122,-0.146707,0.410304,-0.217137,0.365074,0.487248,-2.21617,-3.20642,-4.13924,-3.00188,-3.08689,-3.43027,-3.5583,-2.71914,-3.13172,-4.70747
-36.9367,0.887013,0.0546569,5,63,0,49.298,1.98137,-0.327881,-0.262011,-0.258973,0.383639,-0.0647383,-0.359023,0.189958,-0.21548,0.263005,0.0567387,0.167567,0.206172,-2.69578,-2.69238,-2.59281,-2.81382,-2.79099,-2.73736,-2.76827,-2.59424,-3.34181,-3.59096
-34.4351,0.999958,0.0546569,5,31,0,38.295,1.44594,-0.247406,-0.00296284,-0.237774,0.254177,-0.00399406,-0.371548,0.0628391,-0.134934,0.343829,0.046277,0.221631,0.270051,-2.44646,-2.47633,-2.78547,-3.47859,-2.77255,-2.54237,-3.23527,-2.67601,-2.99788,-3.05247
-37.4442,0.955039,0.0546569,6,63,0,39.2859,1.83063,-0.172472,-0.159299,-0.285829,0.0995526,-0.280334,-0.300317,0.0448789,-0.248909,0.0883484,-0.0943821,0.206459,0.183187,-4.48713,-2.56043,-2.55171,-2.94008,-2.85146,-4.55131,-2.86863,-3.22026,-3.0605,-3.17909
-35.6785,0.94512,0.0546569,6,63,0,41.7761,0.991927,-0.232507,0.144915,0.135814,0.2979,0.165351,-0.289707,0.00240903,-0.121249,0.273999,-0.273266,0.281455,0.231434,-2.39614,-2.5918,-3.35857,-2.95669,-3.16454,-3.26031,-3.06872,-3.21625,-2.92606,-3.06409
-36.4855,0.99472,0.0546569,6,63,0,40.6815,0.971014,0.0625383,0.0347418,-0.21876,0.292951,-0.072048,-0.146884,0.315996,-0.115642,0.264064,-0.0225671,0.266643,0.254537,-3.03081,-2.66075,-3.16258,-3.92432,-3.42566,-3.19102,-2.78586,-2.62218,-3.65153,-3.07444
