# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = weights_1.data.R
# init = 2 (Default)
# random
#   seed = 2159453317
# output
#   file = weights_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b1,b2,sigma
# Adaptation terminated
# Step size = 0.626286
# Diagonal elements of inverse mass matrix:
# 0.125729, 0.0711754, 0.0456418, 0.0368716
-752.114,0.690691,0.626286,3,7,0,756.67,153.689,6.06356,0.486265,5.02908
-750.177,0.990025,0.626286,3,7,0,753.344,155.207,5.50404,-0.182846,5.05972
-750.873,0.883059,0.626286,2,3,0,752.207,155.103,5.49898,-0.461447,5.06789
-749.051,1,0.626286,2,3,0,751.091,155.027,5.75454,-0.309451,5.21837
-748.738,0.970508,0.626286,3,7,0,750.143,154.258,5.7026,0.188464,4.9246
-748.44,0.998917,0.626286,3,7,0,749.141,154.88,5.81679,-0.100828,5.24882
-748.147,0.952698,0.626286,3,7,0,750.171,154.54,5.91917,0.103804,4.9573
-748.531,0.979697,0.626286,3,7,0,749.137,154.826,6.05948,-0.238361,5.03145
-751.696,0.729525,0.626286,2,3,0,752.503,154.856,6.40656,0.0598718,5.39579
-750.559,1,0.626286,1,1,0,751.602,154.73,6.36804,0.0159792,5.34549
-748.783,0.964513,0.626286,2,7,0,751.298,154.607,6.1395,0.129908,5.12666
-749.223,0.784654,0.626286,3,7,0,752.305,154.248,5.45815,0.105165,5.13229
-749.795,0.881187,0.626286,2,7,0,752.74,154.651,6.39318,-0.0415043,5.10623
-750.436,0.790671,0.626286,2,7,0,753.822,154.563,5.40748,-0.189325,5.32541
-750.088,0.844869,0.626286,2,3,0,752.051,154.834,5.77172,0.254365,5.11689
-750.831,0.955419,0.626286,2,3,0,751.647,153.901,5.71021,0.0430906,5.18518
-752.182,0.947608,0.626286,3,7,0,754.901,154.814,5.58558,-0.553954,5.06457
-750.041,1,0.626286,2,3,0,751.897,154.821,5.61105,-0.404274,5.06705
-750.294,1,0.626286,3,7,0,751.448,153.945,6.04178,0.16371,4.9644
-750.045,0.942295,0.626286,3,7,0,752.562,155.11,6.01118,-0.0912226,5.35405
-750.572,0.968806,0.626286,3,7,0,751.668,154.794,6.18513,-0.439619,5.04413
-750.227,0.965498,0.626286,3,7,0,752.437,154.44,5.39179,0.321828,5.02871
-749.507,0.876116,0.626286,3,7,0,751.888,154.145,5.93433,0.0786184,5.31482
-749.095,0.953618,0.626286,2,3,0,750.834,154.602,5.92082,0.164407,5.32813
-749.276,0.910947,0.626286,2,3,0,750.485,154.463,5.94972,0.276405,5.26931
-751.575,0.757645,0.626286,2,7,0,753.481,154.798,6.0926,0.33769,5.05433
-749.284,1,0.626286,2,3,0,751.378,154.773,5.98139,0.190614,5.04429
-749.815,0.995597,0.626286,3,7,0,749.912,154.262,5.66167,-0.0985425,5.28765
-750.499,0.866843,0.626286,2,7,0,753.073,154.653,6.28529,0.214422,5.24099
-751.187,0.913525,0.626286,2,3,0,752.06,154.058,6.18859,-0.0395643,5.28516
-751.679,0.96367,0.626286,2,3,0,753.746,154.107,6.37364,0.225015,5.3631
