# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = weights_1.data.R
# init = 2 (Default)
# random
#   seed = 1229008162
# output
#   file = weights_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b1,b2,sigma
# Adaptation terminated
# Step size = 0.539404
# Diagonal elements of inverse mass matrix:
# 0.134381, 0.0672644, 0.0464958, 0.0327214
-750.497,0.588098,0.539404,2,3,0,754.146,154.7,5.98876,-0.445788,5.16804
-748.896,0.959835,0.539404,3,11,0,752.729,154.561,5.49414,-0.0437933,5.22693
-747.942,0.984798,0.539404,2,7,0,749.809,154.773,5.94658,-0.119232,5.09664
-747.859,0.991977,0.539404,2,7,0,748.148,154.531,5.89784,-0.0455335,5.08603
-749.445,0.791504,0.539404,3,7,0,751.039,154.359,5.36433,0.127114,5.09428
-750.218,0.927529,0.539404,3,7,0,751.945,154.771,6.32194,-0.316143,5.1946
-750.655,0.953764,0.539404,3,7,0,753.557,154.266,5.28095,0.183748,5.29608
-751.023,0.95384,0.539404,3,7,0,752.873,154.723,6.1683,0.0826195,4.71844
-751.491,0.931752,0.539404,3,7,0,756.625,154.496,5.73733,0.0868056,4.60161
-748.781,0.940384,0.539404,2,7,0,752.519,154.744,5.79761,0.150178,4.9731
-749.398,0.9917,0.539404,2,7,0,749.665,154.33,5.5412,-0.0542727,5.24457
-753.321,0.680559,0.539404,2,7,0,754.433,155.367,5.59564,0.0962772,5.0877
-749.973,1,0.539404,2,3,0,753.526,155.136,5.66128,-0.0211767,5.22108
-755.676,0.831805,0.539404,3,7,0,757.081,154.672,5.0806,-0.412948,4.88595
-750.781,1,0.539404,3,7,0,757.266,154.575,6.38781,-0.0925707,5.37619
-750.092,0.928525,0.539404,3,7,0,752.511,154.744,5.34832,0.134257,5.02825
-750.043,0.929597,0.539404,3,7,0,752.699,154.721,5.38019,-0.168026,5.29188
-750.621,0.762945,0.539404,3,7,0,754.588,154.467,5.95448,0.32075,5.42801
-748.725,1,0.539404,3,7,0,751.172,154.139,5.75721,0.221473,5.13631
-749.702,0.932352,0.539404,2,3,0,749.956,153.918,5.81308,0.233688,5.11682
-751.068,0.985893,0.539404,3,7,0,751.784,154.007,5.70662,0.564107,5.08896
-752.275,0.900822,0.539404,3,7,0,753.497,153.984,5.82944,0.637447,4.97951
-749.83,1,0.539404,3,7,0,753.076,155.297,5.72114,-0.286365,5.13134
-756.004,0.884246,0.539404,3,7,0,757.118,153.304,5.75718,0.557169,4.85796
-753.217,1,0.539404,3,7,0,760.155,154.604,5.7177,0.137817,5.75198
-748.373,0.986787,0.539404,2,7,0,754.021,154.499,5.90255,0.0976691,5.26549
-748.706,0.94651,0.539404,3,7,0,749.951,154.625,6.1392,0.064909,4.96452
-751.39,0.870349,0.539404,3,7,0,752.28,153.759,5.49079,0.326448,5.21352
-750.099,0.998149,0.539404,2,3,0,751.499,153.995,5.56488,0.360159,5.23588
-749.121,0.985724,0.539404,3,7,0,751.438,154.233,5.97925,0.326617,5.09056
-748.163,0.956843,0.539404,3,7,0,750.342,154.494,6.00686,0.0673914,5.17737
-752.179,0.791247,0.539404,3,7,0,753.431,154.862,6.50771,-0.359489,5.34247
-748.36,0.700272,0.539404,3,7,0,756.76,154.333,5.88323,0.00778042,5.18593
-752.149,0.87398,0.539404,2,7,0,754.08,154.701,6.3071,-0.144197,5.58928
-755.982,0.893772,0.539404,3,7,0,759.438,154.727,5.53239,-0.122346,5.92135
-752.251,0.966215,0.539404,3,7,0,758.126,155.248,6.1788,-0.342209,4.72773
-750.246,0.97502,0.539404,3,7,0,755.388,154.639,5.5225,-0.147185,5.43526
-750.553,0.998567,0.539404,3,7,0,751.349,154.684,5.64168,0.0734257,5.52125
-750.799,0.95049,0.539404,3,7,0,753.139,154.596,5.64526,0.302677,5.42296
-748.869,1,0.539404,3,7,0,751.343,154.784,5.80605,-0.0509689,4.81847
-748.496,0.99603,0.539404,3,7,0,749.091,154.766,5.77512,-0.0829034,4.86905
-747.814,0.989136,0.539404,2,3,0,748.705,154.547,5.77599,0.0266051,5.02732
-751.368,0.770413,0.539404,2,7,0,752.261,154.485,6.32271,0.293328,4.90479
-753.209,0.921625,0.539404,3,7,0,754.426,153.802,6.33912,0.0908511,5.01291
-749.864,1,0.539404,2,3,0,753.641,154.083,6.12118,0.074802,4.9956
-747.998,1,0.539404,2,3,0,749.968,154.427,5.83476,0.0876346,4.98594
-749.153,0.859548,0.539404,2,7,0,750.623,154.58,5.94311,-0.249825,5.24763
-749.682,0.959366,0.539404,3,7,0,751.489,154.308,5.47521,-0.0726723,5.02907
-748.803,0.979689,0.539404,3,15,0,752.454,154.956,5.86387,-0.198628,5.28475
-749.299,0.978374,0.539404,3,7,0,749.727,155.123,5.75324,-0.196804,5.26299
-750.099,0.988227,0.539404,3,7,0,750.678,154.282,5.99355,0.355354,4.87169
-750.458,0.96484,0.539404,3,15,0,750.939,155.243,5.67095,-0.14597,5.32004
-749.784,0.899037,0.539404,2,3,0,752.297,155.14,5.93712,-0.0361724,5.23139
-750.931,0.992015,0.539404,3,7,0,752.233,153.783,5.65507,0.207574,5.05894
-749.734,0.97028,0.539404,3,15,0,753.775,154.684,6.23949,0.166513,5.14628
-748.83,0.98776,0.539404,2,7,0,751.353,154.888,6.09752,0.0116467,5.08178
-750.115,0.871197,0.539404,2,7,0,750.586,154.493,5.92558,-0.325816,5.00712
-748.667,0.951856,0.539404,2,3,0,750.971,154.851,5.8561,-0.30218,5.01418
-748.443,1,0.539404,3,7,0,749.074,154.871,5.66625,-0.0565059,5.18248
-750.999,0.786882,0.539404,2,7,0,753.185,154.942,5.4746,0.137354,5.33728
-752.213,0.962313,0.539404,3,15,0,753.352,154.599,5.24974,-0.274603,5.35607
-751.476,0.994465,0.539404,3,7,0,755.107,155.375,5.55897,-0.2797,4.90249
-750.165,1,0.539404,3,7,0,752.371,154.396,6.14751,0.055048,5.44155
-751.213,0.946843,0.539404,2,3,0,751.6,154.49,6.18661,0.163386,5.52196
-751.57,0.997886,0.539404,3,7,0,753.502,155.147,5.59715,-0.37563,4.7643
-748.046,0.999383,0.539404,2,7,0,752.188,154.435,5.87962,0.138787,5.01614
-748.226,0.94184,0.539404,3,7,0,749.987,154.931,5.89894,-0.16528,5.02096
-751.032,0.840167,0.539404,2,3,0,751.623,154.876,6.49596,-0.231529,5.01533
-750.47,0.982951,0.539404,3,7,0,752.217,154.425,5.23236,0.0156907,5.18631
-749.759,1,0.539404,2,3,0,750.676,154.61,5.30522,0.0318295,5.17757
-750.301,0.989734,0.539404,3,7,0,751,154.652,6.40091,-0.0447315,4.92447
-752.24,0.702377,0.539404,2,7,0,753.924,154.885,6.36207,0.203371,4.96891
-749.942,0.994096,0.539404,3,15,0,753.07,155.068,5.53375,-0.133846,5.3075
-749.986,0.997414,0.539404,3,7,0,750.863,154.493,6.20332,0.0290236,4.79516
-749.334,0.961827,0.539404,3,7,0,752.239,154.144,5.49075,0.196676,5.08872
-749.663,0.872858,0.539404,3,7,0,751.848,154.418,5.51735,-0.15792,4.9982
