# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = MedianAgeDivorce_4.data.R
# init = 2 (Default)
# random
#   seed = 2734688130
# output
#   file = MedianAgeDivorce_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma
# Adaptation terminated
# Step size = 0.761644
# Diagonal elements of inverse mass matrix:
# 0.0469587, 0.0437506, 0.0109488
-45.6069,0.76053,0.761644,3,7,0,47.7617,9.35917,-0.822427,1.62847
-43.6756,0.911105,0.761644,1,3,0,46.8605,9.6284,-1.01375,1.46649
-44.4147,0.808741,0.761644,3,7,0,45.7566,9.49855,-0.862044,1.48543
-43.8729,0.907077,0.761644,2,3,0,45.5776,9.79311,-1.10696,1.41095
-44.5904,0.788132,0.761644,2,3,0,45.8994,9.56373,-1.29253,1.52442
-46.0325,0.891427,0.761644,2,3,0,46.8031,9.39906,-1.28327,1.71216
-45.6901,0.99485,0.761644,3,7,0,46.8425,9.90109,-0.796834,1.3255
-43.9385,1,0.761644,2,3,0,45.7255,9.56656,-1.09866,1.40081
-46.1334,0.40637,0.761644,3,7,0,51.8083,9.54386,-0.937712,1.21346
-48.0161,0.772871,0.761644,3,7,0,50.0343,9.74058,-1.08131,2.03346
-46.0356,0.996367,0.761644,5,43,0,48.11,9.60383,-1.30161,1.78363
