# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = MedianAgeDivorce_2.data.R
# init = 2 (Default)
# random
#   seed = 2734688115
# output
#   file = MedianAgeDivorce_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma
# Adaptation terminated
# Step size = 0.676084
# Diagonal elements of inverse mass matrix:
# 0.0543435, 0.0439132, 0.0142099
-45.5269,0.758228,0.676084,2,3,0,46.8183,9.65348,-1.08011,1.21596
-45.8868,0.98235,0.676084,3,7,0,46.4736,9.74087,-1.05954,1.83861
-44.6558,0.969992,0.676084,3,7,0,47.5798,9.65364,-0.875572,1.31677
-45.9702,0.752597,0.676084,2,3,0,47.7527,10.0631,-1.03779,1.34022
-43.9245,0.997421,0.676084,3,7,0,46.3891,9.81306,-0.96992,1.52228
-46.4048,0.822756,0.676084,2,3,0,46.4832,9.84266,-1.043,1.87618
-45.6192,1,0.676084,3,7,0,47.6608,9.59757,-0.848372,1.25935
-44.2444,0.975538,0.676084,3,7,0,46.7284,9.81057,-1.22022,1.52781
-43.7308,1,0.676084,2,3,0,44.2534,9.77217,-1.07531,1.44152
-43.7061,0.826008,0.676084,3,7,0,45.521,9.72948,-0.991642,1.42772
-45.3664,0.883964,0.676084,3,7,0,45.6582,9.77748,-0.73186,1.67914
