# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = MedianAgeDivorce_1.data.R
# init = 2 (Default)
# random
#   seed = 2734688115
# output
#   file = MedianAgeDivorce_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma
# Adaptation terminated
# Step size = 0.624952
# Diagonal elements of inverse mass matrix:
# 0.0454443, 0.0431203, 0.0118199
-44.4154,0.855275,0.624952,2,7,0,46.7031,9.88482,-0.978821,1.36996
-45.1869,0.92507,0.624952,3,7,0,46.1831,9.80151,-1.37044,1.57619
-45.0484,0.998601,0.624952,2,7,0,45.5718,9.89389,-1.31941,1.53136
-44.7759,0.858961,0.624952,3,7,0,48.0339,9.53004,-0.824078,1.38085
-44.9121,0.88918,0.624952,3,7,0,47.1646,9.84434,-0.976035,1.70517
-43.8923,0.976321,0.624952,3,7,0,45.9198,9.65464,-1.06075,1.36243
-44.5074,0.913145,0.624952,3,7,0,45.3443,9.48892,-0.850312,1.50115
-43.702,0.971163,0.624952,1,3,0,45.096,9.6523,-0.972168,1.47986
-44.2339,0.970534,0.624952,2,3,0,44.2749,9.7267,-1.21183,1.36783
-44.7606,0.949198,0.624952,3,7,0,45.5519,9.61041,-1.10941,1.27528
-43.667,0.920871,0.624952,2,3,0,45.8786,9.62946,-1.04231,1.45195
-46.2137,0.872559,0.624952,3,7,0,46.2757,9.94724,-1.40735,1.63965
-44.3489,0.952914,0.624952,2,5,0,47.124,9.82157,-1.17803,1.59154
-44.2084,0.976822,0.624952,2,7,0,45.0652,9.89257,-1.07041,1.41422
-44.4536,0.989868,0.624952,3,7,0,44.8373,9.49699,-0.880929,1.55959
-44.3476,0.999245,0.624952,3,7,0,44.7571,9.84481,-1.22143,1.42702
-44.4928,0.991268,0.624952,2,3,0,44.6248,9.85965,-1.2029,1.38185
-45.3414,0.943917,0.624952,2,7,0,45.8901,9.93791,-1.33463,1.49929
-44.8284,0.998915,0.624952,3,7,0,45.9152,9.39526,-0.902851,1.48759
-45.0772,0.933238,0.624952,2,7,0,46.7424,9.98794,-0.847911,1.52467
-44.8776,0.960417,0.624952,3,7,0,46.789,9.8332,-1.31775,1.41787
-45.4785,0.97279,0.624952,3,7,0,46.5968,9.49364,-0.73855,1.39134
