# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = heights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = heights_1.data.R
# init = 2 (Default)
# random
#   seed = 3342498807
# output
#   file = heights_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,mu
# Adaptation terminated
# Step size = 0.820917
# Diagonal elements of inverse mass matrix:
# 0.00127248, 6.12651e-05
-891.502,0.793525,0.820917,1,3,0,893.427,7.74529,154.022
-890.866,0.895041,0.820917,1,3,0,892.719,7.5381,154.795
-890.64,0.975729,0.820917,2,3,0,891.271,7.73292,154.389
-893.436,0.487714,0.820917,2,7,0,896.331,8.11754,155.509
-892.883,1,0.820917,1,1,0,893.588,8.10527,155.396
-891.307,1,0.820917,2,3,0,892.817,8.07923,154.872
-892.08,0.961485,0.820917,4,19,0,892.3,8.29245,154.605
-891.848,1,0.820917,2,3,0,892.193,8.24196,154.497
-891.486,0.973141,0.820917,2,3,0,892.668,7.87422,154.048
-892.19,0.944184,0.820917,2,3,0,892.506,7.43689,155.195
-891.736,1,0.820917,2,3,0,892.26,7.90277,153.985
-891.639,1,0.820917,2,7,0,891.85,7.73889,155.229
-891.135,0.960874,0.820917,2,3,0,892.276,7.90438,154.191
-890.897,1,0.820917,1,1,0,891.113,7.89204,154.298
-890.831,0.92485,0.820917,2,3,0,891.753,7.54219,154.773
-891.26,0.934174,0.820917,2,7,0,891.689,7.99375,154.992
-891.053,0.90868,0.820917,2,7,0,892.133,7.99751,154.342
-890.856,0.911669,0.820917,2,7,0,891.959,7.82033,154.94
-890.858,0.994949,0.820917,2,7,0,891.132,7.86321,154.296
-891.057,0.860994,0.820917,2,7,0,892.555,7.46049,154.747
-891.528,0.97672,0.820917,2,7,0,891.584,8.17543,154.51
-891.52,0.965991,0.820917,2,3,0,892.306,8.06603,155.014
-891.513,1,0.820917,2,3,0,891.721,8.12631,154.892
-891.358,0.79624,0.820917,1,3,0,893.818,7.76595,154.065
-890.948,1,0.820917,2,3,0,891.458,7.5688,154.9
-891.2,0.88646,0.820917,2,3,0,892.124,7.88512,154.153
-894.478,0.629659,0.820917,2,7,0,895.428,7.47792,153.545
-894.678,1,0.820917,2,7,0,894.775,8.17087,155.708
-892.968,1,0.820917,1,1,0,894.476,8.15927,155.369
-892.349,0.915057,0.820917,2,3,0,894.644,7.34674,154.095
-891.547,1,0.820917,2,3,0,892.604,7.59085,154.061
-890.827,1,0.820917,2,3,0,891.586,7.78238,154.276
-890.74,0.993941,0.820917,2,3,0,890.946,7.66839,154.869
-892.263,0.648964,0.820917,4,15,0,895.057,7.60221,155.341
-890.861,1,0.820917,2,3,0,892.38,7.99671,154.636
-890.663,0.995887,0.820917,2,3,0,891.029,7.58534,154.673
-891.357,0.914543,0.820917,4,15,0,891.605,7.40417,154.811
-891.75,0.921599,0.820917,2,3,0,892.591,7.31445,154.458
-893.362,0.777624,0.820917,2,3,0,894.664,8.37169,154.035
-892.204,1,0.820917,1,1,0,893.229,8.25775,154.263
-890.573,0.868666,0.820917,2,3,0,893.75,7.63804,154.555
-890.967,0.671845,0.820917,2,3,0,894.312,7.46941,154.641
-890.689,0.993241,0.820917,3,11,0,891.141,7.74102,154.861
-892.43,0.776951,0.820917,2,3,0,892.898,7.42457,155.243
-892.684,0.997664,0.820917,2,7,0,892.728,8.14954,153.909
-892.005,1,0.820917,1,1,0,892.674,8.14472,154.118
-891.687,0.986693,0.820917,2,7,0,892.321,7.56401,155.174
-891.702,1,0.820917,2,7,0,891.741,7.93228,154.009
-892.133,0.965178,0.820917,2,3,0,892.396,7.80604,153.86
-893.644,0.908175,0.820917,2,3,0,893.718,7.78512,153.568
-890.844,1,0.820917,2,3,0,893.215,7.60652,154.883
-891.249,0.909877,0.820917,2,3,0,891.75,7.93851,154.17
-890.566,0.938543,0.820917,1,3,0,891.933,7.6375,154.613
-890.763,0.959468,0.820917,2,3,0,890.858,7.67502,154.887
-890.533,0.962166,0.820917,2,3,0,891.007,7.79715,154.533
-890.781,0.942507,0.820917,4,23,0,891.251,7.94598,154.739
-890.766,0.991645,0.820917,2,7,0,891.054,7.59093,154.81
-890.66,0.998436,0.820917,2,3,0,890.849,7.89157,154.497
-891.18,0.893667,0.820917,2,3,0,891.51,8.01663,154.918
-890.932,1,0.820917,2,7,0,891.361,7.66118,154.244
-891.398,0.96756,0.820917,2,3,0,891.414,7.6375,154.081
-891.382,0.968197,0.820917,2,3,0,892.304,7.58936,155.098
-891.243,0.868148,0.820917,2,3,0,893.152,8.08492,154.411
-890.579,0.983206,0.820917,2,3,0,891.572,7.77283,154.448
-890.505,0.999081,0.820917,1,3,0,890.575,7.75341,154.568
-892.743,0.815408,0.820917,2,3,0,892.75,7.16363,154.66
-893.517,0.828074,0.820917,5,31,0,895.306,7.10411,154.88
-893.971,0.885941,0.820917,2,7,0,895.654,7.34029,155.469
-892.699,0.984939,0.820917,2,3,0,895.128,7.82931,153.74
-893.655,0.86387,0.820917,2,3,0,894.753,8.27602,155.412
-892.329,1,0.820917,2,3,0,893.791,7.39826,154.026
-890.515,1,0.820917,2,3,0,892.098,7.71583,154.667
-890.515,0.614771,0.820917,1,3,0,893.275,7.71583,154.667
-892.08,0.818325,0.820917,2,3,0,892.163,8.17079,155.083
-890.62,1,0.820917,2,3,0,891.958,7.60375,154.568
-890.781,0.95904,0.820917,2,3,0,890.948,7.66168,154.322
-891.623,0.932576,0.820917,2,3,0,891.768,7.36923,154.877
-891.353,1,0.820917,2,3,0,891.669,7.38737,154.737
-890.633,1,0.820917,2,3,0,891.391,7.86011,154.744
-891.965,0.860877,0.820917,2,3,0,892.016,8.00555,153.98
-891.822,0.977857,0.820917,2,7,0,893.064,7.93513,155.238
-894.615,0.652612,0.820917,2,3,0,897.28,7.10077,153.987
-892.575,0.849912,0.820917,4,27,0,897.668,8.1485,153.938
-891.263,0.994872,0.820917,3,15,0,892.782,8.072,154.858
-894.135,0.768762,0.820917,2,3,0,894.572,8.57697,154.323
-891.852,0.949229,0.820917,2,3,0,895.4,8.1467,155.029
-891.329,0.964784,0.820917,2,7,0,892.593,7.3952,154.751
-891.329,0.708733,0.820917,2,3,0,893.853,7.3952,154.751
-890.925,0.994419,0.820917,2,3,0,891.536,8.01485,154.534
-891.771,0.783225,0.820917,4,15,0,893.935,7.50716,154.06
-891.668,0.994477,0.820917,2,7,0,892.071,7.40844,154.225
-892.359,0.964264,0.820917,2,3,0,892.421,8.22959,155.09
-891.179,0.792427,0.820917,2,3,0,895.798,7.66111,154.144
-890.669,0.948323,0.820917,2,3,0,891.78,7.63592,154.789
-890.846,0.985519,0.820917,2,3,0,890.962,7.50798,154.656
-892.539,0.817661,0.820917,2,3,0,892.857,8.30447,154.215
-890.634,1,0.820917,2,3,0,892.285,7.82558,154.787
-890.917,0.882764,0.820917,1,3,0,891.642,7.63031,154.27
-890.823,0.990837,0.820917,3,15,0,891.188,7.68122,154.924
-890.89,0.992717,0.820917,2,3,0,891.01,7.72944,154.243
-890.944,0.995502,0.820917,2,7,0,891.154,7.615,154.944
-890.645,0.896425,0.820917,2,3,0,891.945,7.85222,154.444
-890.838,0.964096,0.820917,1,1,0,890.84,7.87888,154.321
-893.676,0.425773,0.820917,1,3,0,896.537,7.93979,155.636
-894.494,0.829732,0.820917,1,1,0,894.938,7.8729,155.778
-890.794,0.947555,0.820917,1,3,0,894.34,7.7576,154.923
-892.951,0.66771,0.820917,2,3,0,894.833,8.39065,154.953
-891.278,0.970956,0.820917,2,7,0,893.473,7.83139,155.112
-890.754,0.889913,0.820917,1,3,0,892.24,7.8561,154.355
-890.822,0.967401,0.820917,3,11,0,891.24,7.97924,154.547
-891.413,0.87053,0.820917,2,3,0,892.429,7.38438,154.783
-890.783,1,0.820917,2,3,0,891.498,7.72908,154.297
-891.197,0.917248,0.820917,1,1,0,891.211,7.76609,154.119
-892.035,0.905439,0.820917,2,3,0,892.266,7.99697,155.26
-892.679,0.9562,0.820917,2,3,0,893.767,8.39225,154.527
-892.434,1,0.820917,2,3,0,892.839,8.35459,154.598
-892.358,0.958633,0.820917,3,15,0,893.34,7.21496,154.517
-890.696,1,0.820917,2,3,0,892.315,7.63131,154.807
-890.691,0.858806,0.820917,2,3,0,891.926,7.92632,154.624
-891.727,0.753862,0.820917,2,3,0,892.754,7.62161,155.219
-891.527,1,0.820917,2,3,0,891.788,7.76109,154.014
-891.441,0.981228,0.820917,2,3,0,892.043,8.07771,154.956
-891.897,0.921012,0.820917,1,1,0,891.975,8.07868,155.145
-891.438,1,0.820917,2,3,0,891.874,8.05759,154.988
-890.792,0.988399,0.820917,2,7,0,891.591,7.52446,154.59
-890.603,0.872967,0.820917,2,3,0,892.121,7.61307,154.634
-890.897,0.931797,0.820917,2,3,0,891.078,7.67778,154.959
-891.087,0.991736,0.820917,2,3,0,891.351,7.4629,154.427
-891.076,0.896539,0.820917,2,7,0,892.212,7.96117,154.94
-891.121,0.950679,0.820917,2,3,0,891.879,8.04118,154.388
-891.738,0.927482,0.820917,3,11,0,892.123,7.99935,155.17
-890.52,1,0.820917,2,3,0,891.541,7.70574,154.543
-892.079,0.508642,0.820917,2,3,0,895.527,8.17934,154.146
-893.665,0.883915,0.820917,3,15,0,894.309,7.15487,154.105
-892.235,1,0.820917,2,3,0,894.071,7.24029,154.764
-890.533,1,0.820917,3,7,0,892.059,7.66845,154.625
-890.732,0.916179,0.820917,2,3,0,891.191,7.92281,154.739
-890.544,0.992298,0.820917,2,3,0,890.824,7.66451,154.552
-890.591,0.939152,0.820917,2,3,0,891.014,7.8586,154.536
-890.664,0.945074,0.820917,1,3,0,891.191,7.57838,154.587
-890.702,0.910497,0.820917,1,3,0,891.566,7.93056,154.639
-890.702,0.696411,0.820917,1,3,0,892.795,7.93056,154.639
-891.778,0.851842,0.820917,2,3,0,892.06,8.08152,155.099
-890.592,1,0.820917,2,3,0,891.598,7.83104,154.478
-890.62,0.998096,0.820917,2,3,0,890.636,7.6493,154.758
-890.645,0.954781,0.820917,2,3,0,891.105,7.90014,154.647
-890.528,0.97982,0.820917,1,3,0,890.864,7.71112,154.519
-890.763,0.955171,0.820917,2,3,0,890.967,7.95854,154.633
-891.284,0.935437,0.820917,2,3,0,891.497,8.01821,154.242
-890.985,0.959843,0.820917,2,3,0,891.857,7.81196,154.209
-890.985,0.549897,0.820917,1,3,0,894.599,7.81196,154.209
-890.74,1,0.820917,2,3,0,890.948,7.77703,154.323
-890.686,1,0.820917,2,3,0,890.754,7.77377,154.358
-892.257,0.852609,0.820917,2,3,0,892.342,8.2923,154.871
-893.498,0.946575,0.820917,4,23,0,893.578,8.41869,154.089
-893.166,0.995013,0.820917,5,31,0,893.741,8.43486,154.914
-891.327,0.983143,0.820917,4,23,0,893.471,7.43651,154.33
-892.845,0.823129,0.820917,2,3,0,893.411,8.22821,155.257
-890.672,0.930077,0.820917,1,3,0,893.456,7.78858,154.841
-890.672,0.714549,0.820917,1,3,0,892.71,7.78858,154.841
-890.695,0.99141,0.820917,2,7,0,890.915,7.92644,154.647
-890.528,0.963089,0.820917,2,3,0,891.084,7.80807,154.641
-890.635,0.965763,0.820917,2,3,0,890.742,7.76832,154.394
-890.706,0.940843,0.820917,1,3,0,891.138,7.85174,154.826
-891.132,0.952076,0.820917,2,7,0,891.194,7.70969,154.146
-890.755,1,0.820917,2,3,0,891.126,7.84246,154.87
-890.528,0.987306,0.820917,1,3,0,890.914,7.68282,154.656
-891.523,0.904085,0.820917,2,3,0,891.582,7.41674,154.272
-893.672,0.719082,0.820917,2,3,0,894.526,8.38088,155.264
-891.361,1,0.820917,2,3,0,893.73,7.56875,154.136
