# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = weights_1.data.R
# init = 2 (Default)
# random
#   seed = 1475325203
# output
#   file = weights_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b1,b2,sigma
# Adaptation terminated
# Step size = 0.653812
# Diagonal elements of inverse mass matrix:
# 0.11478, 0.062225, 0.0516918, 0.0312422
-749.371,0.737251,0.653812,2,3,0,750.541,154.015,5.83052,0.135459,5.03404
-749.324,0.994113,0.653812,3,7,0,750.032,154.809,5.93972,-0.382776,5.07874
-748.118,0.998336,0.653812,3,15,0,749.917,154.645,5.61364,0.0024797,5.1046
-748.517,0.864981,0.653812,3,7,0,750.012,154.699,6.06874,-0.212631,5.1159
-749.437,0.951753,0.653812,2,3,0,749.75,154.987,6.25431,-0.251382,5.08117
-748.457,0.889008,0.653812,3,7,0,750.527,154.664,5.65881,-0.139524,4.94679
-749.349,0.947172,0.653812,3,7,0,751.095,155.082,6.14422,-0.320078,5.12026
-747.92,0.996726,0.653812,2,7,0,749.526,154.725,5.91844,-0.0557668,5.15473
-748.284,0.97744,0.653812,3,7,0,748.694,154.897,5.92738,-0.206543,5.00281
-750.009,0.857433,0.653812,2,3,0,750.567,155.117,5.9927,-0.346707,5.35558
-750.663,0.828532,0.653812,3,7,0,755.941,154.375,6.33075,0.154172,4.86255
-749.249,0.909988,0.653812,3,7,0,752.231,154.791,6.07161,0.00217456,4.83768
-748.535,0.855755,0.653812,3,7,0,750.463,154.864,5.89734,-0.215324,5.24411
-748.864,0.989995,0.653812,3,7,0,749.178,154.197,5.76333,0.195894,4.91846
-749.472,0.737506,0.653812,2,7,0,751.294,154.491,5.63843,-0.10325,4.81826
-748.884,0.99464,0.653812,3,7,0,750.42,154.28,5.96357,0.298053,5.08671
-749.159,1,0.653812,3,7,0,749.438,155.174,5.76442,-0.288947,5.08171
-748.703,0.95591,0.653812,2,7,0,750.845,154.487,6.00863,0.0137147,5.30883
-749.369,0.782562,0.653812,3,7,0,752.642,154.206,5.58553,0.0440907,4.933
-749.257,1,0.653812,3,7,0,749.907,154.783,6.12107,-0.266043,5.26727
-750.169,0.953348,0.653812,3,7,0,751.313,154.142,5.51036,0.117395,4.85984
-751.189,0.924697,0.653812,2,7,0,752.703,154.649,6.36545,0.159806,5.36629
-750.316,1,0.653812,3,7,0,752.327,154.924,5.51019,0.0602155,4.86376
-750.361,1,0.653812,2,3,0,750.981,154.883,5.40112,0.0443759,4.90125
-750.661,0.797147,0.653812,3,7,0,754.48,154.924,5.4651,-0.3138,5.36266
-749.824,0.850001,0.653812,3,7,0,754.765,154.111,6.01711,0.271131,4.88032
-751.782,0.642664,0.653812,2,3,0,752.799,154.419,5.8599,0.448095,4.80303
-748.488,0.90995,0.653812,2,7,0,753.867,154.625,6.12002,-0.0309845,5.20888
-748.913,0.948904,0.653812,2,7,0,749.845,154.864,6.21077,-0.18518,5.06692
-751.884,0.715986,0.653812,2,3,0,752.665,154.707,6.39422,-0.36911,5.35755
-753.639,0.894433,0.653812,3,7,0,756.247,154.088,5.09498,-0.0330064,5.05213
-752.184,1,0.653812,3,7,0,755.441,154.786,6.40156,0.0388697,5.50593
-755.648,0.795381,0.653812,3,7,0,757.826,155.473,5.56576,-0.134116,4.66599
-754.545,1,0.653812,3,7,0,757.72,154.429,6.06284,-0.164583,5.80183
-750.645,0.772243,0.653812,3,7,0,757.631,154.866,5.9251,0.166109,5.41188
-748.705,0.918425,0.653812,3,7,0,753.114,154.936,5.7738,-0.212126,4.91462
-752.157,0.822911,0.653812,3,7,0,754.072,153.914,5.3012,0.468061,4.98788
-754.123,0.912288,0.653812,2,3,0,755.382,153.53,5.36197,0.614367,5.08357
-752.206,0.870286,0.653812,2,3,0,755.931,154.086,5.39719,0.586023,5.1222
-750.114,0.880441,0.653812,3,7,0,754.706,154.199,6.30394,0.0529936,5.13242
-748.751,1,0.653812,3,7,0,750.479,154.529,6.03992,0.157551,4.92866
-748.785,0.985442,0.653812,3,7,0,749.493,154.431,5.85849,-0.0125262,5.33051
-748.704,0.908142,0.653812,3,7,0,749.974,154.392,5.69402,0.17213,4.89065
-749.2,0.937632,0.653812,3,7,0,750.605,154.272,6.10307,0.119838,5.27648
-750.559,0.771972,0.653812,3,7,0,752.655,154.505,5.53913,0.120451,5.50049
-750.832,0.988548,0.653812,2,7,0,751.25,154.447,5.63138,0.0395143,5.55691
-749.097,0.989226,0.653812,2,3,0,751.423,154.677,5.51071,0.121614,5.22312
-749.127,0.923705,0.653812,2,7,0,750.443,154.75,5.62924,0.182454,5.06855
-748.07,0.989162,0.653812,3,7,0,750.222,154.803,5.733,-0.102021,5.0018
-750.273,0.732037,0.653812,2,7,0,750.526,155.127,5.64807,0.0102362,4.95931
-750.27,0.810569,0.653812,2,3,0,754.035,154.284,6.29364,0.0559731,4.89877
-750.798,0.619854,0.653812,2,7,0,754.458,154.982,5.30984,-0.242873,5.25437
-750.733,0.96996,0.653812,3,7,0,751.916,154.39,6.20694,0.292116,4.85348
-750.047,0.996141,0.653812,2,7,0,752.092,154.969,5.85583,-0.405857,5.33852
