# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = weights_3.data.R
# init = 2 (Default)
# random
#   seed = 1273962336
# output
#   file = weights_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b1,b2,sigma
# Adaptation terminated
# Step size = 0.537269
# Diagonal elements of inverse mass matrix:
# 0.125039, 0.0784511, 0.0535205, 0.0333751
-748.217,0.948961,0.537269,2,3,0,749.501,154.418,5.80474,-0.0709137,5.09084
-750.424,0.860624,0.537269,2,3,0,750.72,154.772,6.09257,0.216674,4.90083
-754.664,0.664298,0.537269,3,7,0,757.646,153.469,6.11839,0.205385,5.26343
-751.432,0.961835,0.537269,2,3,0,755.674,153.757,5.99253,0.466591,5.23488
-751.545,0.836138,0.537269,3,7,0,756.794,154.926,5.85465,-0.324052,5.57836
-749.534,0.991539,0.537269,3,7,0,753.242,155.207,5.64716,-0.242289,5.0807
-749.072,0.94271,0.537269,3,7,0,750.672,154.132,5.8364,0.0423987,5.16645
-749.731,0.994159,0.537269,3,7,0,750.596,155.277,5.84685,-0.379251,5.06209
-749.289,0.946238,0.537269,2,3,0,750.808,155.123,6.05931,-0.346229,5.06757
-750.787,0.798596,0.537269,3,7,0,754.518,154.204,5.72097,-0.0072742,4.7412
-749.883,1,0.537269,3,7,0,751.277,155.028,5.95276,-0.265538,5.40589
-747.964,0.994977,0.537269,2,7,0,750.149,154.66,5.73454,0.00484652,5.16599
-747.91,0.938734,0.537269,2,7,0,749.351,154.586,5.98002,-0.043841,5.1047
-748.589,0.975681,0.537269,3,7,0,748.846,154.857,5.8019,-0.116763,4.87683
-750.192,0.925993,0.537269,3,7,0,751.004,154.916,5.65697,-0.189207,5.4607
-752.132,0.946682,0.537269,3,7,0,755.112,154.374,5.13237,0.212627,5.37507
-749.92,0.954645,0.537269,3,7,0,754.427,154.584,6.30991,-0.0794426,4.88474
-749.921,0.999941,0.537269,3,7,0,750.465,154.341,5.32949,0.112139,5.23095
-751.072,0.911261,0.537269,3,7,0,754.027,153.887,5.98843,0.493877,5.2296
-749.44,0.884236,0.537269,3,7,0,753.908,154.299,5.56107,0.348317,5.05457
-749.299,1,0.537269,3,7,0,749.746,155.127,6.12835,-0.254457,5.12088
-748.878,0.934572,0.537269,2,7,0,752.036,154.525,6.09572,0.152487,4.93849
-748.959,0.994263,0.537269,3,7,0,749.958,154.233,5.53339,0.216047,5.13055
-748.606,0.991853,0.537269,3,7,0,749.912,154.2,5.87066,0.249899,5.07291
-748.263,0.881385,0.537269,3,7,0,749.889,154.55,5.86794,0.17769,5.12402
-748.726,0.964234,0.537269,3,7,0,749.608,154.741,5.86712,-0.0044307,5.33305
-749.514,0.952069,0.537269,2,3,0,749.876,154.758,6.00298,0.0738193,5.38173
-750.97,0.976295,0.537269,2,7,0,751.404,154.511,6.12332,0.0692261,5.54852
-750.403,0.979705,0.537269,3,7,0,751.636,154.386,5.59368,-0.0688255,4.75702
-748.628,1,0.537269,2,3,0,750.3,154.589,5.70685,0.0916334,4.86778
-751.368,0.703272,0.537269,3,7,0,753.875,154.545,6.00387,0.338818,4.78058
-749.234,1,0.537269,3,7,0,751.978,154.72,5.71272,0.0449505,5.38363
-749.855,0.987301,0.537269,3,7,0,750.924,154.385,5.83876,0.219731,4.75826
-748.826,0.97237,0.537269,2,7,0,751.14,154.599,5.95471,-0.0573346,5.35088
-751.501,0.768585,0.537269,3,11,0,754.193,154.531,5.53098,-0.359386,4.93404
-749.841,0.990706,0.537269,3,15,0,753.475,154.581,5.29583,-0.0143631,5.17697
-753.387,0.813222,0.537269,2,7,0,754.709,154.935,5.09309,-0.339657,4.98288
-751.595,0.989627,0.537269,3,7,0,755.734,155.181,6.42285,-0.253966,5.31661
-754.019,0.90992,0.537269,2,3,0,754.319,155.279,6.64426,-0.253701,5.34868
-751.642,0.991638,0.537269,3,7,0,756.215,155.216,5.76271,-0.462227,5.46912
-749.826,0.995277,0.537269,3,7,0,752.861,155.083,6.2359,-0.228914,4.96374
-749.87,0.768008,0.537269,3,7,0,753.755,154.566,5.56031,0.270874,4.90181
-749.303,1,0.537269,2,3,0,750.65,154.226,5.58481,-0.00299069,4.98463
-748.901,0.999008,0.537269,3,7,0,750.281,154.393,6.05321,0.134834,5.28698
-751.008,0.889671,0.537269,2,3,0,751.2,154.319,6.16094,-0.0192677,5.49618
-750.413,0.995599,0.537269,3,7,0,753.987,154.322,5.62161,0.225803,4.73646
-749.272,1,0.537269,2,3,0,750.533,154.334,5.64627,0.222036,4.85124
-749.097,0.989166,0.537269,2,3,0,749.771,154.284,5.56134,0.235988,4.94594
-749.482,0.932527,0.537269,3,7,0,750.903,155.016,6.21795,-0.105883,5.17358
-748.443,0.997349,0.537269,2,7,0,749.817,154.601,6.08686,-0.0418925,5.22504
-748.541,0.970346,0.537269,3,7,0,749.098,154.556,5.53778,-0.0489864,5.00481
-751.59,0.859878,0.537269,2,3,0,752.967,154.36,5.9415,0.164528,4.61758
-749.846,0.808641,0.537269,3,7,0,757.001,154.177,5.90704,0.150829,5.40757
-750.609,0.9636,0.537269,3,7,0,753.162,155.136,5.60519,-0.324995,4.8305
-748.486,1,0.537269,2,3,0,750.602,154.843,5.7544,-0.247419,4.99715
-749.632,0.870235,0.537269,3,7,0,751.788,154.39,5.63422,0.19433,5.39909
-748.912,0.938981,0.537269,2,7,0,751.558,154.697,6.11842,-0.245021,5.01512
-750.96,0.954814,0.537269,3,7,0,751.354,155.078,5.51421,-0.126707,5.44218
-751.462,0.945731,0.537269,3,7,0,754.254,154.093,6.40036,0.152272,4.96892
-747.967,0.988028,0.537269,3,7,0,752.739,154.782,5.72814,-0.0632941,5.06926
-751.996,0.821452,0.537269,2,7,0,753.67,155.236,5.55576,-0.422135,5.46347
-749.447,1,0.537269,3,7,0,752.759,154.886,5.57082,-0.0485514,5.33517
-750.04,0.927451,0.537269,3,7,0,753.187,155.097,5.89485,-0.168329,5.41111
-749.349,0.912142,0.537269,3,7,0,751.955,154.961,6.21693,-0.273438,5.01895
-748.09,0.97301,0.537269,3,7,0,750.727,154.53,5.99783,0.064138,5.16164
-749.703,0.940207,0.537269,3,7,0,750.062,154.904,5.70326,-0.195467,5.41386
-748.432,0.977496,0.537269,3,7,0,751.302,154.604,6.10944,0.0848345,5.08828
-748.429,0.95736,0.537269,2,7,0,750.395,154.651,5.96411,0.0446702,5.26638
-748.505,0.929672,0.537269,3,7,0,749.969,154.331,5.69012,0.069268,4.93476
-749.829,0.895932,0.537269,3,7,0,750.365,154.659,5.97655,0.168892,5.39971
-748.603,0.923788,0.537269,3,15,0,754.166,154.663,6.17731,0.00851446,5.03304
-750.085,0.859182,0.537269,3,15,0,751.459,154.145,5.74071,-0.0290386,4.87771
-749.496,0.99568,0.537269,3,7,0,750.588,154.858,5.86402,0.183667,5.12937
-749.658,0.955041,0.537269,3,7,0,752.625,153.939,5.76685,0.304663,5.03499
-748.129,0.992001,0.537269,3,7,0,750.122,154.817,5.6951,-0.137868,5.06169
-750.12,0.693984,0.537269,3,7,0,752.79,154.445,5.31853,0.252314,5.12475
-748.403,0.99882,0.537269,3,7,0,751.642,154.96,6.00343,-0.128775,5.0954
-748.215,0.818956,0.537269,3,15,0,751.87,154.601,5.64618,-0.101449,5.13187
-748.328,0.944192,0.537269,3,7,0,748.987,154.822,5.83437,0.0553137,5.10109
-748.671,0.990342,0.537269,2,7,0,749.267,154.682,5.71813,-0.152518,4.88021
-748.443,0.837474,0.537269,3,7,0,750.241,154.699,5.96944,-0.216122,5.17869
-749.809,0.937408,0.537269,2,7,0,750.547,154.53,6.30441,0.045269,5.29625
-749.584,0.924603,0.537269,3,7,0,751.837,154.765,5.45675,-0.201513,4.93918
-748.394,0.970294,0.537269,2,7,0,750.94,154.579,5.80518,-0.117301,5.25152
-749.061,0.976134,0.537269,3,7,0,749.485,154.637,6.18748,0.103937,4.98429
-749.075,0.99426,0.537269,2,7,0,750.025,154.694,6.22838,-0.203121,5.09435
-748.358,1,0.537269,3,7,0,749.325,154.582,5.64726,0.11353,4.96591
-748.816,0.907779,0.537269,3,7,0,750.446,154.766,6.14086,-0.115613,5.2551
-749.329,0.984612,0.537269,3,7,0,750.166,154.319,5.47792,0.209853,4.94406
-748.793,0.834246,0.537269,2,3,0,751.945,154.519,5.65148,0.244208,5.14403
-748.882,0.984622,0.537269,3,7,0,750.341,155.024,5.95076,-0.0756525,5.20547
-748.547,0.971517,0.537269,2,7,0,751.704,154.634,5.94638,0.0913368,5.27169
-750.106,0.954322,0.537269,3,7,0,750.52,154.397,5.61768,0.0561149,5.47247
-750.653,0.940416,0.537269,3,7,0,753.448,155.222,5.49056,-0.228904,4.94008
-750.08,0.896493,0.537269,2,3,0,752.519,155.199,5.82327,-0.142663,4.87263
-748.716,0.78165,0.537269,3,7,0,752.458,154.669,6.12769,0.0150307,5.24294
-749.885,0.865529,0.537269,3,7,0,750.463,154.396,5.61025,-0.155072,4.88142
-753.928,0.907888,0.537269,3,7,0,754.777,154.658,6.68048,0.224682,5.15008
-752.702,1,0.537269,3,7,0,754.036,154.857,5.04035,-0.0888856,4.99866
-752.134,0.970904,0.537269,3,7,0,755.211,154.406,6.29527,-0.0174306,5.57667
-754.588,0.919732,0.537269,2,7,0,755.586,154.319,6.60534,0.287861,5.51605
-754.831,1,0.537269,2,3,0,755.379,154.216,6.56568,0.306083,5.5675
-757.372,0.931103,0.537269,3,7,0,758.36,154.447,6.77539,0.385075,5.51668
-754.1,0.990269,0.537269,3,7,0,758.809,155.116,5.13524,0.00049893,4.85995
-752.692,1,0.537269,2,3,0,755.169,155.195,5.36194,0.0223982,4.89401
-748.76,1,0.537269,2,3,0,753.127,154.44,5.86119,-0.175338,5.09689
-748.836,0.992234,0.537269,3,11,0,750.027,154.694,5.85926,-0.298647,5.09185
-749.035,0.981212,0.537269,3,7,0,750.246,154.191,5.56949,0.0720711,5.08172
-749.347,0.985603,0.537269,2,7,0,750.291,154.771,6.26973,0.0262139,5.04191
-752.04,0.7198,0.537269,2,3,0,754.64,154.96,6.37898,-0.528115,5.1352
-748.733,0.970631,0.537269,3,7,0,753.655,154.479,5.76024,0.260141,4.99923
-749.049,0.970105,0.537269,3,7,0,750.486,154.631,5.78417,-0.247381,4.91954
-752.893,0.857319,0.537269,2,3,0,753.293,154.992,5.78956,-0.0879416,4.56175
-749.383,0.98103,0.537269,3,7,0,754.385,155.049,6.12619,-0.16,4.93174
-751.369,0.90016,0.537269,2,3,0,751.617,154.798,6.19803,-0.375571,4.79093
-752.324,0.94746,0.537269,3,7,0,753.542,154.09,5.39015,-0.00882219,5.45925
-749.997,0.983925,0.537269,3,7,0,753.922,155.047,5.96851,-0.0273432,4.84023
-749.808,0.997021,0.537269,3,7,0,751.531,154.609,5.65702,0.208836,5.38245
-754.517,0.799383,0.537269,2,3,0,755.092,154.343,5.23282,-0.0672985,5.67485
-751.275,0.99837,0.537269,3,7,0,754.971,154.547,6.02435,-0.188692,4.67232
-748.931,1,0.537269,3,7,0,751.422,154.721,5.78252,0.0954827,4.85558
-749.532,0.987506,0.537269,3,7,0,750.227,154.808,6.09617,0.054026,5.33753
-749.079,0.998148,0.537269,3,7,0,750.251,154.776,5.75404,-0.337344,5.10568
-748.556,0.929015,0.537269,3,11,0,750.634,154.923,5.61313,-0.101299,5.08736
-749.277,0.932783,0.537269,3,7,0,750.026,154.629,6.04685,-0.217171,5.31322
-749.32,0.926863,0.537269,2,7,0,752.793,154.607,5.64639,-0.162962,4.83806
-748.529,0.969979,0.537269,3,7,0,751.572,154.415,5.58442,0.170814,5.16196
-747.932,0.998673,0.537269,2,7,0,748.689,154.609,5.70237,0.0530112,5.09209
-748.346,0.965341,0.537269,3,7,0,748.929,154.545,5.56624,0.0447016,5.00156
-748.446,0.932813,0.537269,3,7,0,750.06,154.714,6.03651,-0.190959,5.18502
-748.896,0.880784,0.537269,2,7,0,750.204,154.388,5.81921,-0.155302,5.03893
-749.918,0.965869,0.537269,2,7,0,752.416,155.173,6.18852,-0.367616,5.12807
-748.344,0.96495,0.537269,3,7,0,751.749,154.262,5.76353,0.119866,5.15954
-748.227,0.981501,0.537269,3,7,0,748.915,154.759,5.87254,0.0193346,4.94476
-749.62,0.739198,0.537269,2,7,0,752.202,154.336,5.38876,0.184536,5.22603
-749.087,0.859411,0.537269,2,3,0,751.528,154.516,5.45595,0.175895,5.15273
-750.462,0.856129,0.537269,3,7,0,755.17,155.186,6.28119,-0.297267,5.24211
-750.074,0.825047,0.537269,3,7,0,753.905,154.12,5.62814,0.04023,5.33438
-748.538,0.90373,0.537269,2,7,0,751.864,154.532,5.81968,0.104562,5.29995
-749.081,0.944188,0.537269,3,7,0,750.277,154.891,5.52818,-0.0444144,4.96376
-750.255,0.852182,0.537269,2,7,0,753.851,155.007,6.17345,-0.220987,5.40288
-749.043,0.985103,0.537269,3,7,0,751.425,154.776,5.73645,0.0227449,4.82517
-749.083,0.953717,0.537269,3,7,0,750.6,154.369,6.14274,-0.0393257,4.95805
-751.235,0.867968,0.537269,3,7,0,752.641,154.348,5.35487,0.37997,4.91368
-749.083,1,0.537269,2,3,0,751.109,154.22,5.51913,0.181807,5.002
-753.825,0.545423,0.537269,2,3,0,755.736,153.774,5.25544,0.087246,5.05865
-750.486,1,0.537269,3,7,0,754.624,154.818,6.28306,0.100967,4.91817
-751.444,0.992896,0.537269,3,7,0,753.34,154.959,5.68799,-0.47342,4.82341
-748.751,1,0.537269,2,3,0,751.962,154.739,5.92166,0.135939,4.96511
-748.478,0.796157,0.537269,2,3,0,751.306,154.499,5.86193,-0.165495,5.03754
-749.042,0.984533,0.537269,2,7,0,750.076,155.021,5.64753,-0.269143,4.99352
-748.307,0.996418,0.537269,3,7,0,749.948,154.282,5.82708,0.208143,5.07892
-748.038,0.996749,0.537269,3,7,0,748.554,154.732,5.69298,-0.114463,5.10467
-748.491,0.935281,0.537269,2,7,0,750.28,154.555,5.52574,0.0671429,5.14289
-749.855,0.923146,0.537269,3,7,0,751.007,154.105,5.83075,0.2006,5.38198
-752.1,0.942951,0.537269,3,7,0,752.958,153.937,5.85855,0.637027,5.23169
-749.957,0.949551,0.537269,2,3,0,753.764,153.963,5.98653,0.336991,5.20841
-749.433,1,0.537269,3,7,0,750.581,155.091,5.83144,-0.341316,4.91629
-750.837,0.674133,0.537269,2,3,0,751.825,155.345,5.88182,-0.146476,4.93237
-749.565,0.905085,0.537269,3,7,0,753.012,154.177,5.78763,-0.0162328,4.90354
-749.858,0.988087,0.537269,2,7,0,751.473,154.155,5.88552,0.180504,4.79658
-748.498,0.962073,0.537269,3,7,0,750.663,154.881,5.80195,-0.25886,5.17267
-748.469,0.927869,0.537269,3,7,0,750.357,154.449,6.09924,-0.0470866,5.11724
-748.561,0.927833,0.537269,2,3,0,749.286,154.443,5.99926,-0.126073,5.11579
-748.494,0.921286,0.537269,2,3,0,749.788,154.453,5.82947,-0.132227,5.00475
-749.309,0.955948,0.537269,3,7,0,750.916,154.953,5.95648,-0.403396,5.109
-750.641,0.781892,0.537269,2,7,0,753.725,154.452,6.06759,-0.340076,5.14606
-750.885,0.966069,0.537269,3,7,0,753.74,154.589,5.82399,0.267949,4.73739
-748.868,1,0.537269,2,3,0,751.366,154.388,5.70765,0.188105,4.86906
-749.38,0.913209,0.537269,3,7,0,750.697,155.184,6.03379,-0.252992,5.19001
-749.754,0.845569,0.537269,2,3,0,751.476,154.913,5.98122,-0.440739,5.04882
-751.378,0.947964,0.537269,3,7,0,752.971,154.077,5.22367,0.137386,5.15148
-748.16,0.977304,0.537269,3,7,0,752.04,154.737,6.06474,-0.067392,5.12532
-749.232,0.886462,0.537269,3,15,0,750.64,154.841,6.0233,-0.335851,4.95469
-750.615,0.958042,0.537269,3,7,0,751.878,154.896,5.8886,-0.0763952,5.53561
-751.846,0.854456,0.537269,2,3,0,752.445,155.112,5.9268,0.0462808,5.49989
-749.727,0.987976,0.537269,2,7,0,754.549,155.049,5.69413,-0.414552,5.01543
-751.119,0.852935,0.537269,3,7,0,752.43,154.285,6.03305,0.506105,5.09279
-750.372,0.969761,0.537269,2,7,0,754.999,154.666,6.46621,-0.065872,5.0818
-749.9,1,0.537269,3,7,0,752.537,154.376,6.33157,0.0365195,4.97369
-748.491,0.98051,0.537269,2,7,0,750.559,154.411,6.0223,-0.0610625,5.16684
-748.824,0.940435,0.537269,2,7,0,750.658,154.498,5.76134,-0.184878,5.1978
-748.259,0.874181,0.537269,2,7,0,751.558,154.939,5.94747,-0.125403,5.1064
-750.102,0.89416,0.537269,2,3,0,750.571,154.559,6.4168,-0.0855636,5.0606
-749.894,0.959383,0.537269,3,15,0,751.907,155.189,6.14002,-0.147607,5.02107
-749.51,0.96154,0.537269,3,7,0,752.375,154.196,5.69841,0.38443,5.20136
-751.065,0.932853,0.537269,2,3,0,751.193,153.774,5.54176,0.314079,5.1881
-750.8,0.921091,0.537269,3,7,0,753.329,154.151,5.41878,0.408172,5.28459
-751.869,0.968734,0.537269,3,7,0,754.089,154.929,6.49438,-0.395498,5.25084
-750.252,0.996879,0.537269,3,7,0,754.235,154.814,6.30952,-0.0226528,4.86757
-750.387,0.899285,0.537269,3,7,0,754.327,154.239,5.41356,0.356129,5.26518
-752.555,0.921053,0.537269,2,3,0,753.466,154.078,5.15342,0.416594,5.27715
-751.936,0.995837,0.537269,3,7,0,753.518,155.083,6.42863,-0.314643,4.8488
-748.76,0.967933,0.537269,2,3,0,752.606,154.666,6.03548,-0.256761,5.10046
-747.971,0.890894,0.537269,2,7,0,750.241,154.528,5.84005,0.127324,5.04753
-748.079,0.963681,0.537269,3,15,0,748.727,154.773,6.01146,-0.0941551,5.13686
-749.97,0.917829,0.537269,3,7,0,750.402,154.393,5.29158,0.138802,5.03183
-750.207,0.988695,0.537269,3,7,0,752.051,154.072,5.57166,0.313694,5.34217
-751.085,0.987718,0.537269,3,7,0,752.448,155.098,6.03082,-0.399368,4.7661
-749.893,0.993066,0.537269,3,7,0,752.277,154.476,6.00483,0.0931545,5.46444
-749.075,0.992678,0.537269,3,7,0,751.098,154.37,5.7721,0.0728443,4.80751
-751.015,0.916078,0.537269,3,7,0,752.323,155.131,6.12501,-0.440779,5.39414
-749.818,0.954767,0.537269,3,7,0,753.495,155.012,5.51283,-0.0447354,5.26898
