# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = weights_1.data.R
# init = 2 (Default)
# random
#   seed = 3633324218
# output
#   file = weights_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.752247
# Diagonal elements of inverse mass matrix:
# 0.0744728, 0.00156011, 0.00155568
-747.152,0.87644,0.752247,2,3,0,747.728,154.266,0.914512,4.91188
-746.578,0.975194,0.752247,2,3,0,747.681,154.302,0.919987,5.09057
-747.897,0.913839,0.752247,2,7,0,748.353,154.512,0.960246,5.38612
-747.911,0.99498,0.752247,3,7,0,748.873,154.557,0.888367,5.47844
-748.913,0.894053,0.752247,2,3,0,750.46,154.973,0.969013,4.86422
-749.159,0.979303,0.752247,3,7,0,751.276,154.284,0.824059,5.35725
-748.767,0.943772,0.752247,2,3,0,750.789,154.34,0.846331,5.44266
-746.965,1,0.752247,3,7,0,749.184,154.515,0.956671,4.95946
-751.333,0.663326,0.752247,2,3,0,752.056,155.009,1.02664,5.26046
-746.596,1,0.752247,3,7,0,751.452,154.447,0.868362,5.19048
-747.547,0.947286,0.752247,3,7,0,747.683,154.787,0.949928,4.85601
-747.722,0.99869,0.752247,3,7,0,748.097,154.389,0.853627,5.34031
-747.965,0.991597,0.752247,2,3,0,748.345,154.246,0.849753,5.26756
-748.036,0.668824,0.752247,3,7,0,753.739,155.038,0.958126,5.09983
-746.618,1,0.752247,3,7,0,748.205,154.682,0.874284,5.25561
-747.104,0.966508,0.752247,3,7,0,747.515,154.331,0.919816,5.31183
-746.457,0.997531,0.752247,2,3,0,747.426,154.363,0.883693,5.13651
-747.134,0.93245,0.752247,3,7,0,747.913,154.812,0.947221,4.92446
-749.201,0.75631,0.752247,2,3,0,750.788,155.066,0.901124,4.75777
-746.867,0.99571,0.752247,3,7,0,749.649,154.28,0.918446,5.2175
-748.89,0.851706,0.752247,2,3,0,749.605,154.762,1.00454,5.11222
-748.111,0.945991,0.752247,3,7,0,750.522,154.738,0.982342,4.94421
-749.587,0.918605,0.752247,2,3,0,749.902,154.692,0.988868,4.78009
-748.035,1,0.752247,3,7,0,750.173,154.398,0.964941,4.85941
-746.798,1,0.752247,2,3,0,748.584,154.634,0.927696,4.85936
-746.351,0.998073,0.752247,3,7,0,747.111,154.439,0.880263,5.16426
-746.442,0.98939,0.752247,3,7,0,746.751,154.644,0.923916,4.91289
-748.406,0.849534,0.752247,2,7,0,749.062,154.516,0.834289,4.83637
-747.012,1,0.752247,2,3,0,748.419,154.429,0.854013,4.98445
-748.913,0.508745,0.752247,2,3,0,753.398,154.621,0.864266,5.54906
-749.747,0.96775,0.752247,2,3,0,750.569,154.344,0.86975,5.60343
-747.257,0.954655,0.752247,3,7,0,751.331,154.483,0.96757,4.99579
-746.379,0.991889,0.752247,2,3,0,747.613,154.4,0.931119,5.0856
-747.317,0.926967,0.752247,2,3,0,747.569,154.385,0.965631,5.0364
-746.241,0.856841,0.752247,2,3,0,749.416,154.791,0.912123,5.02285
-746.748,0.959439,0.752247,2,3,0,746.92,154.938,0.915309,5.10803
-747.336,0.978216,0.752247,3,7,0,747.391,155.028,0.920565,5.17717
-746.186,0.997254,0.752247,3,7,0,747.434,154.737,0.886441,5.03347
-747.636,0.807838,0.752247,2,3,0,748.382,154.913,0.91299,4.82719
-747.324,0.907853,0.752247,3,7,0,749.139,154.985,0.899419,4.93307
-746.694,0.899295,0.752247,5,63,0,749.498,154.514,0.900618,4.85823
-748.641,0.808716,0.752247,2,3,0,749.32,154.303,0.877843,5.49177
-748.549,0.983291,0.752247,3,7,0,750.345,154.866,0.946823,4.764
-747.745,1,0.752247,1,1,0,748.61,154.891,0.931857,4.82629
-749.883,0.775876,0.752247,2,3,0,751.842,154.199,0.952393,4.72086
-747.956,0.998105,0.752247,3,7,0,751.523,154.713,0.933164,4.74765
-746.809,0.924514,0.752247,2,3,0,749.627,154.451,0.937263,5.27267
-746.92,0.885385,0.752247,2,7,0,748.86,154.883,0.884723,5.24741
-747.011,0.995556,0.752247,3,7,0,747.233,154.318,0.931462,4.9305
-747.946,0.938373,0.752247,2,3,0,748.551,154.478,0.963113,4.83725
-747.493,0.856119,0.752247,3,15,0,751.297,154.882,0.947459,5.29507
-747.614,0.957585,0.752247,3,7,0,748.883,154.35,0.85644,4.88933
-746.838,0.98992,0.752247,2,3,0,748.207,154.518,0.849997,5.12944
-746.079,1,0.752247,3,7,0,746.838,154.654,0.922772,5.02265
-746.191,0.981667,0.752247,3,7,0,746.419,154.54,0.878237,5.14007
-747.369,0.81525,0.752247,2,3,0,748.431,154.151,0.890209,5.04923
-749.733,0.845223,0.752247,4,19,0,750.772,154.878,0.920326,5.61583
-748.821,0.990029,0.752247,3,7,0,751.987,154.345,0.913937,4.68924
-747.157,0.97016,0.752247,2,3,0,749.508,154.868,0.880785,5.30061
-747.407,0.960698,0.752247,3,7,0,748.741,154.273,0.854809,5.03426
-751.368,0.732427,0.752247,3,7,0,751.705,155.274,0.973403,5.43798
-747.49,0.989546,0.752247,3,7,0,751.958,154.376,0.955383,5.29682
-748.73,0.886448,0.752247,2,7,0,750.003,154.295,0.934432,4.73503
-747.477,1,0.752247,3,7,0,748.834,154.851,0.864369,5.31966
-747.467,0.999314,0.752247,3,7,0,747.886,154.352,0.947137,4.88275
-746.72,0.988342,0.752247,2,7,0,748.218,154.338,0.874644,5.01372
-746,0.937301,0.752247,2,7,0,747.737,154.559,0.917305,5.12425
-746.042,0.961407,0.752247,1,3,0,746.526,154.577,0.884679,5.07511
-746.522,0.917702,0.752247,2,3,0,746.94,154.802,0.875425,5.1581
-747.1,0.912002,0.752247,3,7,0,748.19,154.54,0.856092,4.90693
-747.554,0.937429,0.752247,3,7,0,748.371,154.534,0.930264,4.77461
-747.467,0.97193,0.752247,3,7,0,748.62,154.814,0.873944,4.83384
-747.487,0.977904,0.752247,3,7,0,748.863,154.495,0.974245,5.20426
-747.021,0.884249,0.752247,3,7,0,749.936,154.212,0.906981,5.17634
-746.53,0.923633,0.752247,2,3,0,748.255,154.582,0.90948,5.29696
-746.598,0.875971,0.752247,2,3,0,748.6,154.433,0.864234,5.047
-747.887,0.89263,0.752247,3,7,0,748.583,154.151,0.946342,5.20784
-748.365,0.977035,0.752247,2,7,0,748.974,154.047,0.917086,5.2748
-748.97,0.979064,0.752247,2,3,0,749.27,154.029,0.937322,5.32862
-747.45,1,0.752247,2,3,0,749.393,154.194,0.897423,5.27436
-747.456,0.979532,0.752247,3,7,0,748.864,154.987,0.891068,4.91802
-746.071,1,0.752247,2,3,0,747.362,154.515,0.885905,5.08999
-747.984,0.835784,0.752247,2,3,0,748.03,154.566,0.842981,5.37466
-751.201,0.718239,0.752247,3,7,0,754.266,153.901,0.989348,5.20917
-748.109,0.93708,0.752247,2,3,0,753.376,154.134,0.90935,5.34099
-749.193,0.959154,0.752247,2,3,0,749.365,154.126,0.917363,5.48109
-746.338,0.951824,0.752247,2,3,0,750.173,154.371,0.897457,5.14639
-746.295,0.97835,0.752247,3,7,0,746.752,154.816,0.912496,5.03522
-746.533,0.972533,0.752247,3,7,0,747.03,154.388,0.9378,5.06177
-747.716,0.869597,0.752247,2,3,0,748.446,154.889,0.850129,5.26855
-746.593,0.995528,0.752247,2,3,0,748.001,154.626,0.88287,5.28469
-747.082,0.943482,0.752247,2,3,0,747.548,154.714,0.865206,5.30837
-746.881,0.974713,0.752247,3,7,0,748.21,154.242,0.924093,5.08414
-747.292,0.927527,0.752247,3,7,0,748.329,154.982,0.869237,5.09651
-747.047,0.873166,0.752247,3,7,0,750.255,154.21,0.918717,5.159
-748.22,0.957989,0.752247,3,7,0,748.243,155.119,0.880242,4.96855
-746.878,0.977204,0.752247,2,3,0,748.832,154.228,0.894759,5.09983
-746.529,0.988369,0.752247,2,3,0,747.353,154.786,0.895338,4.92933
-746.775,0.991256,0.752247,3,7,0,746.997,154.687,0.865455,4.92861
-746.657,0.990596,0.752247,3,7,0,747.281,154.482,0.939466,5.24016
-747.32,0.925558,0.752247,3,7,0,748.303,154.342,0.851603,4.99405
-746.962,0.94296,0.752247,2,3,0,748.294,154.402,0.876712,4.89028
-746.39,0.99471,0.752247,2,3,0,747.291,154.513,0.930477,5.21753
-747.974,0.88492,0.752247,2,3,0,748.225,154.483,0.980073,4.94117
-748.685,0.597535,0.752247,3,7,0,753.873,154.609,0.834639,4.79733
-749.559,0.840696,0.752247,1,1,0,749.896,154.624,0.838408,4.70484
-749.359,1,0.752247,3,7,0,749.92,154.59,0.974237,5.51834
-748.923,0.995302,0.752247,3,7,0,749.679,154.61,0.958372,5.5215
-749.408,0.908863,0.752247,3,7,0,751.797,154.526,0.984824,5.47744
-748.428,0.979545,0.752247,2,3,0,750.677,154.74,0.995665,5.17895
-748.238,0.983479,0.752247,3,7,0,749.76,154.455,0.81785,5.05912
-749.268,0.969152,0.752247,3,7,0,750.085,154.285,0.81218,5.26755
-748.362,0.949108,0.752247,3,7,0,751.369,154.759,0.971439,5.38705
-748.003,0.751015,0.752247,3,7,0,754.602,154.365,0.832148,4.98172
-747.036,1,0.752247,2,3,0,748.553,154.62,0.855486,5.26974
-748.687,0.856465,0.752247,2,3,0,749.907,155.01,0.968868,4.93197
-751.323,0.869478,0.752247,2,3,0,752.361,154.881,1.02737,4.93092
-747.75,0.951847,0.752247,2,3,0,752.789,154.179,0.857465,5.12854
-747.131,0.999557,0.752247,3,7,0,748.361,154.776,0.955588,4.95509
-747.341,0.996463,0.752247,3,15,0,747.967,154.931,0.953455,5.0998
-746.785,0.989882,0.752247,3,7,0,748.267,154.287,0.908413,4.96744
-746.091,1,0.752247,2,3,0,746.866,154.489,0.898358,5.00548
-746.155,0.997291,0.752247,2,3,0,746.221,154.432,0.894214,5.04849
-747.27,0.91464,0.752247,3,7,0,747.471,154.158,0.893895,5.08818
-747.307,0.993568,0.752247,3,7,0,747.827,154.22,0.871956,5.00797
-747.687,0.988788,0.752247,3,7,0,748.015,154.209,0.853663,5.09943
-746.857,0.999383,0.752247,3,7,0,748.5,154.917,0.885917,5.19265
-748.01,0.923335,0.752247,2,3,0,748.315,154.218,0.926628,4.83718
-746.791,1,0.752247,2,3,0,748.305,154.521,0.930089,4.87076
-746.491,0.999742,0.752247,3,7,0,747.099,154.802,0.900677,5.22953
-747.312,0.930184,0.752247,2,3,0,747.69,155.042,0.909644,5.15263
-747.428,0.944646,0.752247,3,7,0,748.865,154.14,0.899832,5.02361
-746.643,0.979159,0.752247,2,3,0,748.209,154.818,0.941505,5.05913
-748.248,0.843199,0.752247,3,7,0,749.011,155.089,0.909695,4.88622
-746.863,0.985254,0.752247,2,3,0,748.958,154.227,0.899582,5.09186
-748.635,0.903311,0.752247,3,7,0,748.759,155.219,0.888085,5.09031
-746.046,1,0.752247,2,3,0,748.384,154.709,0.916736,5.08072
-748.52,0.823247,0.752247,3,7,0,748.635,155.209,0.890655,5.09825
-747.164,0.964997,0.752247,2,3,0,749.413,154.203,0.886583,5.01416
-747.899,0.961535,0.752247,2,3,0,747.942,154.114,0.883778,4.96593
-746.991,1,0.752247,3,7,0,748.673,154.345,0.943154,5.22315
-748.573,0.875622,0.752247,2,3,0,749.359,155.07,0.94381,4.88572
-747.559,1,0.752247,1,1,0,748.516,154.952,0.930876,4.892
-746.995,0.950225,0.752247,2,3,0,748.568,154.663,0.951628,4.91529
-750.215,0.777861,0.752247,3,11,0,751.033,154.901,0.86145,5.61794
-749.65,1,0.752247,1,1,0,750.476,154.943,0.859794,5.54548
-747.463,1,0.752247,2,3,0,750.203,154.967,0.860476,5.16424
-747.788,0.959186,0.752247,3,7,0,749.334,154.23,0.962091,5.05774
-747.788,0.674803,0.752247,2,3,0,752.385,154.23,0.962091,5.05774
-746.283,0.977091,0.752247,2,3,0,748.337,154.377,0.912926,5.11626
-747.333,0.916946,0.752247,2,3,0,747.604,154.351,0.875459,5.33363
-749.295,0.803533,0.752247,2,3,0,751.162,154.414,1.00905,5.03847
-749.622,0.837165,0.752247,3,7,0,753.809,155.118,0.833431,4.95236
-746.808,0.65864,0.752247,1,3,0,755.513,154.528,0.902237,5.34044
-748.296,0.875303,0.752247,2,3,0,748.893,154.491,0.854475,4.76782
-746.997,1,0.752247,2,3,0,748.441,154.683,0.878138,4.84658
-746.182,0.827745,0.752247,3,7,0,749.306,154.515,0.87807,5.10817
-746.526,0.627443,0.752247,3,7,0,751.446,154.873,0.918126,5.13944
-746.656,0.976854,0.752247,3,7,0,747.164,154.304,0.887269,5.02258
-746.906,0.9862,0.752247,2,3,0,747.054,154.243,0.901104,4.99618
-747.774,0.880384,0.752247,2,3,0,748.863,154.745,0.923701,5.44682
-747.441,1,0.752247,3,7,0,749.004,154.446,0.905059,4.7803
-746.267,1,0.752247,2,3,0,747.562,154.549,0.921941,4.94809
-749.587,0.73932,0.752247,2,3,0,750.14,154.604,0.848873,4.67087
-747.118,0.825894,0.752247,2,3,0,753.532,154.647,0.968209,5.15828
-746.664,0.936611,0.752247,3,7,0,748.597,154.324,0.932541,5.04936
-747.421,0.95061,0.752247,2,3,0,747.786,154.298,0.958931,5.17378
-748.072,0.932601,0.752247,2,3,0,749.15,154.686,0.986394,4.9789
-748.043,1,0.752247,3,7,0,749.148,154.515,0.823734,5.23463
-747.808,0.989541,0.752247,3,7,0,749.133,154.66,0.953219,4.80504
-747.031,1,0.752247,2,3,0,748.585,154.765,0.902695,5.35294
-746.013,0.969714,0.752247,2,3,0,747.564,154.592,0.887929,5.0551
-746.125,0.988875,0.752247,3,7,0,746.216,154.514,0.918583,5.16924
-748.644,0.783528,0.752247,2,3,0,748.806,154.697,0.903381,5.55599
-749.088,0.990992,0.752247,4,23,0,750.292,154.887,0.857609,4.7383
-747.152,1,0.752247,2,3,0,750.057,154.767,0.965206,5.12398
-747.847,0.889435,0.752247,2,3,0,748.894,154.883,0.952796,4.87308
-746.714,0.828248,0.752247,2,3,0,750.628,154.32,0.934127,5.04182
-747.711,0.902788,0.752247,3,7,0,748.699,155.079,0.890267,4.99894
-747.365,0.982952,0.752247,3,7,0,748.851,154.165,0.920861,5.18653
-746.055,0.838017,0.752247,1,3,0,749.668,154.719,0.897688,5.11551
-749.985,0.731904,0.752247,2,3,0,750.06,154.315,0.936902,4.63886
-748.674,0.926836,0.752247,3,7,0,752.926,155.116,0.923391,5.36625
-747.735,0.993411,0.752247,3,7,0,748.868,154.9,0.944724,5.33836
-747.319,0.860241,0.752247,2,7,0,750.496,154.661,0.941041,4.82476
-747.52,0.922114,0.752247,3,15,0,749.374,154.724,0.941505,5.38661
-747.689,0.966881,0.752247,3,7,0,748.568,154.48,0.864996,4.8011
-747.351,0.991464,0.752247,3,7,0,748.948,155.04,0.891603,5.03982
-746.366,1,0.752247,2,3,0,747.34,154.363,0.899794,5.15401
-747.157,0.91688,0.752247,2,3,0,747.75,154.807,0.847755,5.06911
-748.427,0.874056,0.752247,3,7,0,749.745,154.057,0.935772,5.25375
-748.789,0.954265,0.752247,3,7,0,750.744,154.265,0.818236,5.10668
-746.91,1,0.752247,3,7,0,748.798,154.679,0.962398,5.12357
-746.544,0.964577,0.752247,3,7,0,747.916,154.761,0.877051,4.96084
-746.74,0.937804,0.752247,3,7,0,747.569,154.438,0.945469,5.20731
-747.292,0.938863,0.752247,3,7,0,747.981,154.855,0.849329,5.15472
-747.105,0.980653,0.752247,3,7,0,748.273,154.688,0.9135,5.37947
-746.492,0.940485,0.752247,3,7,0,749.03,154.593,0.945097,4.99472
-747.077,0.709051,0.752247,2,3,0,751.032,154.677,0.847079,4.98563
-747.263,0.955514,0.752247,2,3,0,748.109,154.789,0.843208,5.12635
-747.461,0.925198,0.752247,2,7,0,748.965,154.652,0.969268,5.26237
-746.623,1,0.752247,2,3,0,747.627,154.549,0.953764,5.12137
-746.786,0.990592,0.752247,3,7,0,747.168,154.663,0.851655,5.04565
-746.32,0.855654,0.752247,3,7,0,749.011,154.814,0.889925,5.0515
-749.269,0.747249,0.752247,2,3,0,749.674,155.059,0.974809,5.32694
-749.934,0.929431,0.752247,3,7,0,752.636,154.019,0.914003,4.77407
-747.188,1,0.752247,2,3,0,750.205,154.395,0.889054,4.83522
-747.505,0.916565,0.752247,2,7,0,749.146,154.515,0.857061,5.35607
-747.623,0.95572,0.752247,2,3,0,748.809,154.2,0.891639,5.30917
-746.308,0.989197,0.752247,2,3,0,747.914,154.496,0.8893,5.21891
-746.855,0.775883,0.752247,1,3,0,749.635,154.816,0.928034,4.90759
-747.536,0.961507,0.752247,2,3,0,747.943,154.775,0.906783,4.77756
-747.229,1,0.752247,1,1,0,747.633,154.748,0.912302,4.80537
-746.032,0.942352,0.752247,2,3,0,748.06,154.528,0.920673,5.05436
-747.01,0.771242,0.752247,2,3,0,748.831,154.771,0.954199,4.97317
-746.107,0.967402,0.752247,2,3,0,747.591,154.445,0.896335,5.05956
-746.032,0.959638,0.752247,3,7,0,746.667,154.502,0.916235,5.11241
-745.989,0.917984,0.752247,3,7,0,747.042,154.679,0.896066,5.08314
-746.131,0.803996,0.752247,3,7,0,748.603,154.564,0.929337,5.13295
-745.994,0.947608,0.752247,1,3,0,746.816,154.607,0.891878,5.03905
-747.908,0.67144,0.752247,2,3,0,750.392,154.478,0.824237,5.04676
-748.018,0.846747,0.752247,2,7,0,751.128,155.023,0.853427,5.01761
-747.957,0.913461,0.752247,3,7,0,749.938,155.046,0.939173,4.94889
-746.018,1,0.752247,2,3,0,747.76,154.671,0.919445,5.07371
-746.018,0.852556,0.752247,2,3,0,747.654,154.671,0.919445,5.07371
-746.599,0.891981,0.752247,2,3,0,747.095,154.616,0.915919,4.86982
-747.681,0.624652,0.752247,3,7,0,752.057,154.63,0.884959,5.44883
-747.542,0.997376,0.752247,4,31,0,748.238,154.835,0.874525,5.36839
-746.973,0.989485,0.752247,4,31,0,748.396,154.964,0.896046,5.18512
-746.831,0.886828,0.752247,3,11,0,748.995,154.263,0.915199,4.99812
-746.289,0.999613,0.752247,3,7,0,747.037,154.459,0.930646,5.14588
-746.404,0.94341,0.752247,2,3,0,747.177,154.728,0.940431,5.05669
-747.31,0.701103,0.752247,2,3,0,750.071,154.837,0.877313,5.3376
-746.665,1,0.752247,3,7,0,747.476,154.324,0.929938,5.0221
-747.53,0.526106,0.752247,1,3,0,752.528,154.936,0.902092,5.34726
-746.706,0.994003,0.752247,2,3,0,747.963,154.917,0.922471,5.09993
-747.743,0.946315,0.752247,2,3,0,747.903,154.224,0.852116,5.02399
-747.321,1,0.752247,3,7,0,747.899,154.205,0.870615,5.06205
-746.642,1,0.752247,3,7,0,747.655,154.772,0.947174,5.06324
-746.967,0.982712,0.752247,3,7,0,747.396,154.798,0.864027,4.94543
-746.382,0.997805,0.752247,3,7,0,747.334,154.852,0.912413,5.07286
-746.655,0.980017,0.752247,2,7,0,746.936,154.864,0.896648,4.9595
-749.288,0.729298,0.752247,2,3,0,750.285,155.054,0.8481,4.84725
-750.663,0.765873,0.752247,1,1,0,750.969,155.064,0.837497,4.757
-746.354,1,0.752247,2,3,0,750.429,154.381,0.92276,5.04329
