# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = heights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = heights_2.data.R
# init = 2 (Default)
# random
#   seed = 3633283952
# output
#   file = heights_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,mu
# Adaptation terminated
# Step size = 0.828259
# Diagonal elements of inverse mass matrix:
# 0.00135276, 6.99986e-05
-890.851,0.917551,0.828259,1,3,0,891.709,7.98893,154.538
-892.9,0.674997,0.828259,2,3,0,893.354,8.03667,153.767
-894.08,0.808894,0.828259,2,3,0,894.84,8.01747,155.681
-892.203,0.979938,0.828259,2,3,0,894.126,8.03727,153.937
-891.34,1,0.828259,1,1,0,892.066,8.02857,154.23
-891.137,0.988854,0.828259,2,3,0,891.566,7.55675,154.978
-890.549,0.97249,0.828259,2,3,0,891.348,7.72637,154.733
-890.615,0.96625,0.828259,1,3,0,890.787,7.7949,154.421
-890.831,0.892686,0.828259,2,3,0,891.647,7.97072,154.727
-891.182,0.840319,0.828259,1,3,0,892.078,7.71823,154.127
-890.635,0.954609,0.828259,1,3,0,891.549,7.89158,154.663
-890.654,0.947856,0.828259,2,7,0,891.096,7.65899,154.412
-890.85,0.974899,0.828259,2,3,0,891.028,7.50426,154.624
-891.223,0.956492,0.828259,2,3,0,891.412,8.10603,154.562
-890.971,0.749408,0.828259,2,7,0,893.452,7.46735,154.625
-891.059,0.991582,0.828259,2,3,0,891.158,7.47092,154.785
-890.602,1,0.828259,2,3,0,891.027,7.71135,154.425
-891.012,0.959878,0.828259,2,3,0,891.042,7.50323,154.832
-892.526,0.875095,0.828259,2,3,0,892.743,7.19837,154.748
-890.812,0.978725,0.828259,3,11,0,892.764,7.90119,154.361
-892.242,0.865892,0.828259,3,15,0,892.374,8.16717,155.149
-890.694,1,0.828259,2,3,0,892.369,7.82565,154.839
-890.678,0.951804,0.828259,1,3,0,891.232,7.58554,154.508
-890.657,0.933239,0.828259,1,3,0,891.299,7.87406,154.75
-891.204,0.891102,0.828259,2,3,0,891.649,7.68681,155.086
-890.713,0.994867,0.828259,2,5,0,891.273,7.58095,154.472
