# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = MedianAgeDivorce_2.data.R
# init = 2 (Default)
# random
#   seed = 592096645
# output
#   file = MedianAgeDivorce_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
# Adaptation terminated
# Step size = 0.661934
# Diagonal elements of inverse mass matrix:
# 0.0525387, 0.0297162, 0.0104328
-45.0445,0.860068,0.661934,2,3,0,45.6275,9.59043,-1.0932,1.64287,10.4147,10.524,9.8681,11.5079,8.7749,9.97742,7.90034,8.99354,5.60461,9.21218,9.75878,8.66558,12.7104,8.55626,9.97742,10.3054,10.7427,10.9613,9.75878,9.21218,8.2283,6.91645,9.21218,9.3215,9.8681,10.0867,9.97742,10.3054,8.7749,7.79102,9.8681,7.02577,9.97742,10.4147,9.3215,11.3986,9.64946,8.44694,7.24441,9.21218,10.0867,10.524,10.524,12.6011,8.66558,9.21218,9.75878,10.7427,9.3215,11.6172
-44.5498,0.989313,0.661934,2,7,0,45.6747,9.6377,-0.842373,1.71018,10.2729,10.3571,9.85167,11.1152,9.00929,9.9359,8.3354,9.17777,6.56641,9.34624,9.76743,8.92506,12.0418,8.84082,9.9359,10.1886,10.5256,10.694,9.76743,9.34624,8.58811,7.57726,9.34624,9.43048,9.85167,10.0201,9.9359,10.1886,9.00929,8.25116,9.85167,7.6615,9.9359,10.2729,9.43048,11.031,9.68319,8.75658,7.82997,9.34624,10.0201,10.3571,10.3571,11.9576,8.92506,9.34624,9.76743,10.5256,9.43048,11.1995
-46.0458,0.894692,0.661934,2,3,0,47.2433,9.93187,-0.68517,1.27408,10.4485,10.517,10.1059,11.1337,9.42073,10.1744,8.87259,9.55776,7.43374,9.6948,10.0374,9.35221,11.8873,9.2837,10.1744,10.38,10.654,10.7911,10.0374,9.6948,9.07814,8.25594,9.6948,9.76331,10.1059,10.2429,10.1744,10.38,9.42073,8.80408,10.1059,8.32446,10.1744,10.4485,9.76331,11.0651,9.96887,9.21518,8.46149,9.6948,10.2429,10.517,10.517,11.8188,9.35221,9.6948,10.0374,10.654,9.76331,11.2022
-43.8973,0.971224,0.661934,2,3,0,47.0736,9.83079,-0.73716,1.48493,10.3866,10.4603,10.018,11.1238,9.28087,10.0917,8.69114,9.4283,7.14311,9.57573,9.94431,9.20715,11.9346,9.13344,10.0917,10.3129,10.6078,10.7552,9.94431,9.57573,8.91229,8.0277,9.57573,9.64945,10.018,10.1655,10.0917,10.3129,9.28087,8.61743,10.018,8.10141,10.0917,10.3866,9.64945,11.0501,9.8706,9.05972,8.24885,9.57573,10.1655,10.4603,10.4603,11.8609,9.20715,9.57573,9.94431,10.6078,9.64945,11.1975
-44.6411,0.948729,0.661934,3,7,0,44.9491,9.81022,-0.741412,1.30247,10.3692,10.4434,9.99853,11.1107,9.25712,10.0727,8.66399,9.4054,7.10703,9.55369,9.92439,9.18298,11.9262,9.10884,10.0727,10.2951,10.5917,10.7399,9.92439,9.55369,8.88642,7.99672,9.55369,9.62783,9.99853,10.1468,10.0727,10.2951,9.25712,8.58985,9.99853,8.07086,10.0727,10.3692,9.62783,11.0365,9.85025,9.0347,8.21914,9.55369,10.1468,10.4434,10.4434,11.8521,9.18298,9.55369,9.92439,10.5917,9.62783,11.1848
-44.6827,0.953966,0.661934,3,7,0,45.8527,9.93787,-0.92433,1.63478,10.6348,10.7272,10.1726,11.5591,9.24832,10.2651,8.50885,9.43318,6.56776,9.61805,10.0802,9.15588,12.5759,9.06345,10.2651,10.5424,10.9121,11.097,10.0802,9.61805,8.78615,7.67696,9.61805,9.71048,10.1726,10.3575,10.2651,10.5424,9.24832,8.41642,10.1726,7.76939,10.2651,10.6348,9.71048,11.4667,9.98778,8.97102,7.95425,9.61805,10.3575,10.7272,10.7272,12.4835,9.15588,9.61805,10.0802,10.9121,9.71048,11.6516
