# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = MedianAgeDivorce_3.data.R
# init = 2 (Default)
# random
#   seed = 592096651
# output
#   file = MedianAgeDivorce_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
# Adaptation terminated
# Step size = 0.842559
# Diagonal elements of inverse mass matrix:
# 0.0466842, 0.0278799, 0.0105087
-43.7052,1,0.842559,2,3,0,44.1446,9.61069,-0.796468,1.55153,10.2112,10.2909,9.813,11.0077,9.01653,9.89264,8.37935,9.17582,6.70677,9.33512,9.73335,8.93688,11.8838,8.85724,9.89264,10.1316,10.4502,10.6095,9.73335,9.33512,8.61829,7.66253,9.33512,9.41476,9.813,9.97229,9.89264,10.1316,9.01653,8.29971,9.813,7.74218,9.89264,10.2112,9.41476,10.9281,9.6537,8.77759,7.90147,9.33512,9.97229,10.2909,10.2909,11.8042,8.93688,9.33512,9.73335,10.4502,9.41476,11.0873
-44.232,0.847444,0.842559,2,3,0,45.341,9.79275,-0.666039,1.54455,10.2949,10.3616,9.96193,10.961,9.29589,10.0285,8.76306,9.4291,7.36438,9.5623,9.89532,9.22928,11.6936,9.16268,10.0285,10.2283,10.4948,10.628,9.89532,9.5623,8.96287,8.16362,9.5623,9.62891,9.96193,10.0951,10.0285,10.2283,9.29589,8.69645,9.96193,8.23023,10.0285,10.2949,9.62891,10.8944,9.82872,9.09608,8.36343,9.5623,10.0951,10.3616,10.3616,11.627,9.22928,9.5623,9.89532,10.4948,9.62891,11.0276
-43.9387,0.992103,0.842559,3,15,0,44.6798,9.86481,-0.821309,1.39974,10.4841,10.5662,10.0734,11.3054,9.25211,10.1556,8.59507,9.41638,6.87032,9.58064,9.99129,9.16998,12.2088,9.08785,10.1556,10.4019,10.7305,10.8947,9.99129,9.58064,8.84146,7.85589,9.58064,9.66277,10.0734,10.2377,10.1556,10.4019,9.25211,8.51294,10.0734,7.93802,10.1556,10.4841,9.66277,11.2233,9.90916,9.00572,8.10228,9.58064,10.2377,10.5662,10.5662,12.1267,9.16998,9.58064,9.99129,10.7305,9.66277,11.3875
-44.0018,0.926754,0.842559,2,7,0,44.9359,9.55087,-0.970209,1.53816,10.2824,10.3794,9.7973,11.2526,8.82709,9.89432,8.05093,9.02113,6.01349,9.21518,9.70028,8.73007,12.3198,8.63305,9.89432,10.1854,10.5735,10.7675,9.70028,9.21518,8.34199,7.17774,9.21518,9.3122,9.7973,9.99134,9.89432,10.1854,8.82709,7.9539,9.7973,7.27476,9.89432,10.2824,9.3122,11.1556,9.60326,8.53603,7.4688,9.21518,9.99134,10.3794,10.3794,12.2228,8.73007,9.21518,9.70028,10.5735,9.3122,11.3496
-44.6262,0.866501,0.842559,2,3,0,45.4185,9.64339,-0.978889,1.29088,10.3815,10.4794,9.89203,11.3604,8.91314,9.98991,8.13002,9.10891,6.07436,9.30469,9.79414,8.81525,12.4371,8.71736,9.98991,10.2836,10.6751,10.8709,9.79414,9.30469,8.42369,7.24902,9.30469,9.40258,9.89203,10.0878,9.98991,10.2836,8.91314,8.03214,9.89203,7.34691,9.98991,10.3815,9.40258,11.2625,9.69625,8.61947,7.54269,9.30469,10.0878,10.4794,10.4794,12.3392,8.81525,9.30469,9.79414,10.6751,9.40258,11.4582
-44.6262,0.69533,0.842559,2,3,0,47.29,9.64339,-0.978889,1.29088,10.3815,10.4794,9.89203,11.3604,8.91314,9.98991,8.13002,9.10891,6.07436,9.30469,9.79414,8.81525,12.4371,8.71736,9.98991,10.2836,10.6751,10.8709,9.79414,9.30469,8.42369,7.24902,9.30469,9.40258,9.89203,10.0878,9.98991,10.2836,8.91314,8.03214,9.89203,7.34691,9.98991,10.3815,9.40258,11.2625,9.69625,8.61947,7.54269,9.30469,10.0878,10.4794,10.4794,12.3392,8.81525,9.30469,9.79414,10.6751,9.40258,11.4582
