# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = MedianAgeDivorce_1.data.R
# init = 2 (Default)
# random
#   seed = 592096645
# output
#   file = MedianAgeDivorce_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
# Adaptation terminated
# Step size = 0.722002
# Diagonal elements of inverse mass matrix:
# 0.0463793, 0.0278579, 0.0110441
-45.0011,0.969225,0.722002,2,3,0,45.6449,9.83892,-0.943751,1.7284,10.5505,10.6449,10.0786,11.4943,9.13488,10.173,8.37988,9.32363,6.39801,9.51238,9.98426,9.04051,12.5324,8.94613,10.173,10.4561,10.8336,11.0224,9.98426,9.51238,8.66301,7.53051,9.51238,9.60676,10.0786,10.2674,10.173,10.4561,9.13488,8.28551,10.0786,7.62488,10.173,10.5505,9.60676,11.3999,9.88988,8.85176,7.81363,9.51238,10.2674,10.6449,10.6449,12.438,9.04051,9.51238,9.98426,10.8336,9.60676,11.5886
-46.2416,0.929636,0.722002,3,7,0,47.7268,9.34973,-0.583934,1.42524,9.79002,9.84841,9.49805,10.374,8.91412,9.55644,8.44697,9.0309,7.22071,9.14769,9.43966,8.85572,11.0163,8.79733,9.55644,9.73162,9.9652,10.082,9.43966,9.14769,8.62215,7.92143,9.14769,9.20608,9.49805,9.61484,9.55644,9.73162,8.91412,8.38858,9.49805,7.97982,9.55644,9.79002,9.20608,10.3156,9.38126,8.73894,8.09661,9.14769,9.61484,9.84841,9.84841,10.9579,8.85572,9.14769,9.43966,9.9652,9.20608,10.4323
-45.0362,1,0.722002,3,7,0,47.1729,9.63708,-0.998894,1.73023,10.3902,10.4901,9.8908,11.3891,8.8919,9.99069,8.09279,9.09168,5.99511,9.29146,9.79091,8.79201,12.4879,8.69212,9.99069,10.2904,10.6899,10.8897,9.79091,9.29146,8.39246,7.19378,9.29146,9.39135,9.8908,10.0906,9.99069,10.2904,8.8919,7.9929,9.8908,7.29367,9.99069,10.3902,9.39135,11.2892,9.69102,8.59223,7.49345,9.29146,10.0906,10.4901,10.4901,12.388,8.79201,9.29146,9.79091,10.6899,9.39135,11.489
-43.7651,0.997369,0.722002,3,7,0,45.2465,9.6735,-0.717056,1.4509,10.2142,10.2859,9.85563,10.9312,9.13858,9.92734,8.56493,9.28199,7.05911,9.4254,9.78393,9.06687,11.72,8.99516,9.92734,10.1425,10.4293,10.5727,9.78393,9.4254,8.78005,7.91958,9.4254,9.4971,9.85563,9.99904,9.92734,10.1425,9.13858,8.49323,9.85563,7.99129,9.92734,10.2142,9.4971,10.8595,9.71222,8.92346,8.1347,9.4254,9.99904,10.2859,10.2859,11.6483,9.06687,9.4254,9.78393,10.4293,9.4971,11.0029
-44.6731,0.899414,0.722002,3,7,0,45.5471,9.54013,-1.07387,1.42598,10.3498,10.4572,9.8129,11.4237,8.73903,9.92028,7.87994,8.9538,5.62482,9.16858,9.70551,8.63164,12.6049,8.52426,9.92028,10.2424,10.672,10.8868,9.70551,9.16858,8.2021,6.91346,9.16858,9.27596,9.8129,10.0277,9.92028,10.2424,8.73903,7.77255,9.8129,7.02085,9.92028,10.3498,9.27596,11.3163,9.59812,8.41687,7.23562,9.16858,10.0277,10.4572,10.4572,12.4976,8.63164,9.16858,9.70551,10.672,9.27596,11.5311
-44.3901,0.996866,0.722002,3,7,0,45.5417,9.63865,-0.805424,1.68633,10.2459,10.3265,9.84323,11.0514,9.0378,9.92377,8.39346,9.19889,6.70207,9.35997,9.76269,8.95726,11.9373,8.87672,9.92377,10.1654,10.4876,10.6487,9.76269,9.35997,8.63509,7.66858,9.35997,9.44052,9.84323,10.0043,9.92377,10.1654,9.0378,8.31292,9.84323,7.74913,9.92377,10.2459,9.44052,10.9708,9.68214,8.79618,7.91021,9.35997,10.0043,10.3265,10.3265,11.8568,8.95726,9.35997,9.76269,10.4876,9.44052,11.1319
