# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = linear_regression_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = linear_regression_2.data.R
# init = 2 (Default)
# random
#   seed = 591695256
# output
#   file = linear_regression_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma,linpred.1,linpred.2,linpred.3,linpred.4,linpred.5,linpred.6,linpred.7,linpred.8,linpred.9,linpred.10,linpred.11,linpred.12,linpred.13,linpred.14,linpred.15,linpred.16,linpred.17,linpred.18,linpred.19,linpred.20,linpred.21,linpred.22,linpred.23,linpred.24,linpred.25,linpred.26,linpred.27,linpred.28,linpred.29,linpred.30,linpred.31,linpred.32,linpred.33,linpred.34,linpred.35,linpred.36,linpred.37,linpred.38,linpred.39,linpred.40,linpred.41,linpred.42,linpred.43,linpred.44,linpred.45,linpred.46,linpred.47,linpred.48,linpred.49,linpred.50,linpred.51,linpred.52,linpred.53,linpred.54,linpred.55,linpred.56,linpred.57,linpred.58,linpred.59,linpred.60,linpred.61,linpred.62,linpred.63,linpred.64,linpred.65,linpred.66,linpred.67,linpred.68,linpred.69,linpred.70,linpred.71,linpred.72,linpred.73,linpred.74,linpred.75,linpred.76,linpred.77,linpred.78,linpred.79,linpred.80,linpred.81,linpred.82,linpred.83,linpred.84,linpred.85,linpred.86,linpred.87,linpred.88,linpred.89,linpred.90,linpred.91,linpred.92,linpred.93,linpred.94,linpred.95,linpred.96,linpred.97,linpred.98,linpred.99,linpred.100,linpred.101,linpred.102,linpred.103,linpred.104,linpred.105,linpred.106,linpred.107,linpred.108,linpred.109,linpred.110,linpred.111,linpred.112,linpred.113,linpred.114,linpred.115,linpred.116,linpred.117,linpred.118,linpred.119,linpred.120,linpred.121,linpred.122,linpred.123,linpred.124,linpred.125,linpred.126,linpred.127,linpred.128,linpred.129,linpred.130,linpred.131,linpred.132,linpred.133,linpred.134,linpred.135,linpred.136,linpred.137,linpred.138,linpred.139,linpred.140,linpred.141,linpred.142,linpred.143,linpred.144,linpred.145,linpred.146,linpred.147,linpred.148,linpred.149,linpred.150,linpred.151,linpred.152,linpred.153,linpred.154,linpred.155,linpred.156,linpred.157,linpred.158,linpred.159,linpred.160,linpred.161,linpred.162,linpred.163,linpred.164,linpred.165,linpred.166,linpred.167,linpred.168,linpred.169,linpred.170,linpred.171,linpred.172,linpred.173,linpred.174,linpred.175,linpred.176,linpred.177,linpred.178,linpred.179,linpred.180,linpred.181,linpred.182,linpred.183,linpred.184,linpred.185,linpred.186,linpred.187,linpred.188,linpred.189,linpred.190,linpred.191,linpred.192,linpred.193,linpred.194,linpred.195,linpred.196,linpred.197,linpred.198,linpred.199,linpred.200,linpred.201,linpred.202,linpred.203,linpred.204,linpred.205,linpred.206,linpred.207,linpred.208,linpred.209,linpred.210,linpred.211,linpred.212,linpred.213,linpred.214,linpred.215,linpred.216,linpred.217,linpred.218,linpred.219,linpred.220,linpred.221,linpred.222,linpred.223,linpred.224,linpred.225,linpred.226,linpred.227,linpred.228,linpred.229,linpred.230,linpred.231,linpred.232,linpred.233,linpred.234,linpred.235,linpred.236,linpred.237,linpred.238,linpred.239,linpred.240,linpred.241,linpred.242,linpred.243,linpred.244,linpred.245,linpred.246,linpred.247
# Adaptation terminated
# Step size = 0.737849
# Diagonal elements of inverse mass matrix:
# 0.0019743, 0.00170174, 0.000866397
-21.163,1,0.737849,3,7,0,22.3474,0.0139269,0.718333,0.677113,0.344957,-1.41155,0.919019,2.01411,-0.70957,1.18733,1.07813,0.57271,-0.381981,0.331134,-1.19316,0.426074,-0.260304,-0.216626,-1.0122,-0.747009,-1.01532,1.14677,-0.790688,-0.681491,-0.644053,-1.00284,0.351197,0.519672,0.516552,1.30589,-0.612853,-0.675252,1.53052,0.223281,-0.0512708,0.132804,0.366796,0.828542,0.104724,-0.903005,1.23725,-0.825007,0.397995,-0.809407,0.273199,0.285679,-0.743889,0.276319,-0.584774,0.660078,-0.578535,-0.924844,0.173362,-0.266544,0.323118,0.426074,1.32773,0.279439,-0.41318,-1.31795,1.36205,-0.188547,-0.522376,0.139043,-0.39446,0.319998,0.0360865,-0.266544,1.11869,0.825422,0.538391,-0.325822,1.24661,0.610149,-0.238465,0.485353,-0.681491,0.56335,1.65844,0.357437,-0.859326,-0.282144,1.15613,-0.419419,0.716314,0.962698,1.03446,1.17485,-0.269664,-0.41318,0.550871,-0.0387912,0.139043,-0.300863,-0.0637504,-1.37411,1.32773,0.87846,-0.903005,0.457273,1.34957,-0.285264,0.204561,1.88307,0.472873,-1.03404,0.104724,-0.0887097,0.0953647,-0.615973,-0.472458,0.747425,-0.662772,-0.600374,-0.0387912,-0.569175,-1.49891,0.229521,-0.447499,0.603909,-0.375741,0.0329666,-0.977882,0.0579258,-0.385101,-0.690851,-0.634693,-0.513017,0.100026,-0.578535,-0.163587,-0.946683,0.354317,0.332477,0.185842,-0.38822,-0.890525,-0.878045,0.307518,-0.934204,-0.375741,0.00800736,0.631988,-0.743889,1.51492,-0.0294315,-0.032036,-0.013832,-0.00759216,-0.0668703,-1.13076,-1.31171,0.535268,0.934619,-0.837487,-0.459978,0.650708,-0.0793499,0.572146,-1.22123,-0.0918296,-0.213506,-0.547335,-0.962283,0.117204,0.497832,1.55548,-0.135508,0.660067,-1.14948,-0.584774,1.6366,0.822302,-0.519256,-0.0824699,-0.307103,-0.238493,-0.169827,-0.425659,0.348077,0.129684,0.90342,-0.138628,0.937739,-0.00135236,0.276319,-1.43339,0.307518,0.051686,0.460393,-0.0887097,0.672547,0.177062,0.513432,-0.0637504,0.697506,-0.431899,-0.784448,0.0142472,-0.141748,0.223281,-0.566055,-1.0902,-0.594134,0.438554,-0.999722,0.385516,0.385516,1.29029,0.429194,0.388636,0.307518,-1.00596,-0.890437,0.469753,0.722465,0.201441,-0.73141,1.17797,1.04694,0.416715,-0.179187,-1.15572,0.57895,-0.0387912,-1.23683,0.285679,0.157763,0.298158,-0.422539,0.622628,0.0485661,-0.269664,-0.335182,0.504072,0.229521,-0.153093,0.984537,-0.188547,-0.147988,-0.687731,-0.207266,-0.968522,-0.0731101,0.351197,-0.581654,-0.4007,-0.425659,-1.14948,1.03134,0.862861
-22.8927,0.873271,0.737849,2,3,0,23.3316,-0.00872904,0.803827,0.614503,0.361699,-1.60386,1.00408,2.2295,-0.818334,1.30433,1.18214,0.616558,-0.451756,0.346231,-1.35947,0.452471,-0.315598,-0.266721,-1.15698,-0.860229,-1.16047,1.25894,-0.909106,-0.786913,-0.745019,-1.14651,0.368681,0.557207,0.553716,1.437,-0.710107,-0.779931,1.68836,0.225541,-0.0816864,0.124296,0.386138,0.902839,0.0928748,-1.03479,1.36019,-0.94751,0.42105,-0.930054,0.281401,0.295366,-0.856738,0.284892,-0.678686,0.714324,-0.671703,-1.05923,0.169682,-0.322581,0.33726,0.452471,1.46143,0.288383,-0.486668,-1.49912,1.49984,-0.2353,-0.608861,0.131278,-0.465721,0.333769,0.0160679,-0.322581,1.22752,0.899347,0.578155,-0.388914,1.37066,0.658453,-0.29116,0.518804,-0.786913,0.606085,1.8315,0.375664,-0.985913,-0.340037,1.26942,-0.493651,0.777253,1.05296,1.13326,1.29036,-0.326072,-0.486668,0.59212,-0.0677215,0.131278,-0.360984,-0.0956513,-1.56197,1.46143,0.958698,-1.03479,0.487383,1.48587,-0.343528,0.204594,2.08287,0.504839,-1.18142,0.0928748,-0.123581,0.0824011,-0.713598,-0.553002,0.812067,-0.765966,-0.696142,-0.0677215,-0.661229,-1.70161,0.232524,-0.525072,0.65147,-0.444774,0.0125766,-1.11858,0.0405064,-0.455247,-0.797387,-0.734545,-0.598387,0.0876169,-0.671703,-0.20737,-1.08367,0.372173,0.347734,0.183647,-0.458738,-1.02083,-1.00686,0.319804,-1.0697,-0.444774,-0.0153531,0.682891,-0.856738,1.67091,-0.0572478,-0.0601623,-0.0397917,-0.0328093,-0.0991425,-1.28965,-1.49214,0.57466,1.02154,-0.961475,-0.539037,0.703839,-0.113107,0.615928,-1.3909,-0.127072,-0.26323,-0.636791,-1.10112,0.10684,0.532769,1.71629,-0.175949,0.714313,-1.3106,-0.678686,1.80707,0.895856,-0.60537,-0.116599,-0.367967,-0.291191,-0.214353,-0.500633,0.36519,0.120805,0.986628,-0.179441,1.02503,-0.0258268,0.284892,-1.6283,0.319804,0.033524,0.490874,-0.123581,0.728277,0.173821,0.550225,-0.0956513,0.756207,-0.507616,-0.902124,-0.00837069,-0.182932,0.225541,-0.657738,-1.24426,-0.689159,0.466436,-1.14302,0.407085,0.407085,1.41954,0.455962,0.410576,0.319804,-1.15,-1.02073,0.501348,0.784137,0.201103,-0.842773,1.29386,1.14722,0.441997,-0.224827,-1.31758,0.623541,-0.0677215,-1.40835,0.295366,0.152226,0.309331,-0.497142,0.672418,0.0300328,-0.326072,-0.399388,0.539751,0.232524,-0.195627,1.0774,-0.2353,-0.189914,-0.793896,-0.256248,-1.10811,-0.106125,0.368681,-0.675194,-0.472703,-0.500633,-1.3106,1.12977,0.941242
-21.8848,0.942834,0.737849,2,3,0,24.0476,-0.0365975,0.80254,0.650658,0.333238,-1.62918,0.974595,2.19805,-0.844907,1.27436,1.15236,0.587689,-0.478916,0.317794,-1.38518,0.423864,-0.342976,-0.294177,-1.18301,-0.886735,-1.1865,1.22905,-0.935534,-0.813537,-0.771709,-1.17256,0.340209,0.528434,0.524948,1.40681,-0.736853,-0.806565,1.65778,0.197298,-0.109438,0.0962145,0.357637,0.873512,0.0648438,-1.06102,1.33013,-0.973876,0.392494,-0.956448,0.253068,0.267011,-0.88325,0.256554,-0.705482,0.685299,-0.698511,-1.08542,0.141528,-0.349947,0.308838,0.423864,1.43121,0.260039,-0.513772,-1.52461,1.46956,-0.262806,-0.635769,0.103186,-0.492858,0.305353,-0.0118402,-0.349947,1.19768,0.870026,0.549347,-0.416174,1.34059,0.629517,-0.318576,0.490092,-0.813537,0.577232,1.80069,0.34718,-1.01222,-0.367375,1.2395,-0.520743,0.748127,1.02339,1.10356,1.26042,-0.353433,-0.513772,0.56329,-0.0954955,0.103186,-0.388289,-0.123381,-1.58735,1.43121,0.929282,-1.06102,0.458721,1.45561,-0.370861,0.176384,2.05166,0.476149,-1.20741,0.0648438,-0.151266,0.0543869,-0.740338,-0.579999,0.782885,-0.792623,-0.72291,-0.0954955,-0.688054,-1.72677,0.204269,-0.552114,0.622546,-0.471944,-0.0153259,-1.14467,0.0125592,-0.482401,-0.823994,-0.761252,-0.625312,0.0595943,-0.698511,-0.234921,-1.10982,0.343695,0.319295,0.15547,-0.485887,-1.04707,-1.03313,0.29141,-1.09587,-0.471944,-0.043211,0.653916,-0.88325,1.64035,-0.0850386,-0.0879485,-0.0676104,-0.0606392,-0.126866,-1.31547,-1.51764,0.545859,0.992023,-0.987819,-0.566057,0.67483,-0.140809,0.58706,-1.41655,-0.154751,-0.290691,-0.663654,-1.12724,0.0787863,0.504034,1.68567,-0.20355,0.685287,-1.33638,-0.705482,1.77629,0.86654,-0.632284,-0.144294,-0.39526,-0.318607,-0.241892,-0.527715,0.336723,0.0927289,0.957167,-0.207036,0.995509,-0.0536679,0.256554,-1.65358,0.29141,0.00558795,0.462206,-0.151266,0.69923,0.145661,0.521462,-0.123381,0.727115,-0.534686,-0.928563,-0.0362397,-0.210522,0.197298,-0.684568,-1.27016,-0.715939,0.437807,-1.16907,0.378551,0.378551,1.38939,0.42735,0.382037,0.29141,-1.17604,-1.04698,0.472663,0.755,0.172899,-0.869307,1.2639,1.11751,0.413407,-0.252349,-1.34335,0.594661,-0.0954955,-1.43398,0.267011,0.1241,0.280953,-0.524229,0.64346,0.00210232,-0.353433,-0.426631,0.511005,0.204269,-0.223196,1.04779,-0.262806,-0.217493,-0.820508,-0.28372,-1.13422,-0.133838,0.340209,-0.701996,-0.499829,-0.527715,-1.33638,1.10008,0.911854
-21.9231,0.999834,0.737849,3,7,0,22.3916,0.0382127,0.696498,0.670017,0.35918,-1.34393,0.915792,1.97759,-0.663292,1.17595,1.07007,0.58001,-0.34566,0.345777,-1.13218,0.437832,-0.227683,-0.185332,-0.956724,-0.699593,-0.959749,1.13662,-0.741944,-0.636067,-0.599766,-0.947648,0.36523,0.528584,0.525559,1.2909,-0.569515,-0.630016,1.50871,0.241203,-0.0250032,0.153476,0.380356,0.828065,0.12625,-0.850846,1.22435,-0.77522,0.410606,-0.760094,0.289604,0.301704,-0.696568,0.292629,-0.54229,0.664722,-0.536239,-0.872022,0.192802,-0.233733,0.338005,0.437832,1.31208,0.295654,-0.375911,-1.25318,1.34535,-0.158106,-0.481788,0.159526,-0.357761,0.33498,0.0596986,-0.233733,1.1094,0.82504,0.546734,-0.291209,1.23342,0.616311,-0.206507,0.495308,-0.636067,0.570935,1.63273,0.37128,-0.808495,-0.248858,1.1457,-0.381961,0.719249,0.958143,1.02772,1.16385,-0.236758,-0.375911,0.558835,-0.012903,0.159526,-0.267009,-0.0371035,-1.30763,1.31208,0.876467,-0.850846,0.468083,1.33325,-0.251883,0.223052,1.85054,0.483208,-0.977899,0.12625,-0.061304,0.117175,-0.57254,-0.433387,0.749414,-0.617916,-0.557415,-0.012903,-0.527164,-1.42863,0.247253,-0.409187,0.610261,-0.33961,0.0566736,-0.923448,0.0808741,-0.348685,-0.645142,-0.590691,-0.472713,0.121694,-0.536239,-0.133906,-0.893197,0.368255,0.34708,0.204902,-0.35171,-0.838746,-0.826646,0.322879,-0.881097,-0.33961,0.032473,0.637486,-0.696568,1.49358,-0.00382777,-0.00635313,0.0112976,0.0173477,-0.0401286,-1.07168,-1.24713,0.543706,0.930918,-0.78732,-0.421287,0.655637,-0.0522288,0.579464,-1.1594,-0.0643291,-0.182307,-0.505989,-0.908323,0.13835,0.507408,1.53291,-0.10668,0.664712,-1.08983,-0.54229,1.61156,0.822015,-0.478763,-0.0552539,-0.273059,-0.206534,-0.139956,-0.388011,0.362205,0.150451,0.900667,-0.109705,0.933943,0.0233978,0.292629,-1.36511,0.322879,0.074824,0.471108,-0.061304,0.676812,0.196389,0.522534,-0.0371035,0.701013,-0.394061,-0.735894,0.0385232,-0.11273,0.241203,-0.524139,-1.03235,-0.551365,0.449932,-0.944623,0.398506,0.398506,1.27578,0.440857,0.401531,0.322879,-0.950673,-0.838661,0.480183,0.725213,0.220027,-0.684468,1.16687,1.03982,0.428757,-0.149031,-1.09588,0.58606,-0.012903,-1.17453,0.301704,0.177676,0.313804,-0.384986,0.628411,0.0717989,-0.236758,-0.300284,0.513459,0.247253,-0.12373,0.979319,-0.158106,-0.11878,-0.642117,-0.176257,-0.914373,-0.0461787,0.36523,-0.539264,-0.363811,-0.388011,-1.08983,1.02469,0.861341
-20.8051,1,0.737849,2,3,0,21.8696,-0.00615408,0.750433,0.674849,0.339668,-1.49533,0.939383,2.0834,-0.761982,1.21968,1.10561,0.577599,-0.419753,0.325227,-1.26718,0.424411,-0.29264,-0.247009,-1.07814,-0.801094,-1.0814,1.17731,-0.846724,-0.732648,-0.693536,-1.06836,0.346187,0.52219,0.518931,1.34354,-0.660943,-0.726129,1.57821,0.212555,-0.0742653,0.118035,0.362484,0.844863,0.0887007,-0.96406,1.27183,-0.882577,0.395077,-0.86628,0.264704,0.277741,-0.797834,0.267963,-0.631609,0.66887,-0.62509,-0.986875,0.160406,-0.299158,0.316853,0.424411,1.36635,0.271223,-0.452346,-1.39755,1.40221,-0.217675,-0.566423,0.124553,-0.43279,0.313594,0.0169957,-0.299158,1.14798,0.841604,0.541746,-0.361085,1.28161,0.616711,-0.269824,0.486338,-0.732648,0.567821,1.71184,0.352706,-0.918429,-0.315455,1.18709,-0.458865,0.72762,0.985014,1.05998,1.20665,-0.302418,-0.452346,0.554783,-0.061228,0.124553,-0.335011,-0.0873025,-1.45622,1.36635,0.897012,-0.96406,0.457004,1.38917,-0.318714,0.192999,1.94651,0.4733,-1.10095,0.0887007,-0.113377,0.0789228,-0.664202,-0.514273,0.760121,-0.713092,-0.647906,-0.061228,-0.615312,-1.58659,0.219074,-0.488199,0.610192,-0.413235,0.0137364,-1.04228,0.0398109,-0.423012,-0.742426,-0.683758,-0.556645,0.0837921,-0.62509,-0.191601,-1.00969,0.349446,0.326631,0.173443,-0.426272,-0.951022,-0.937985,0.300557,-0.996653,-0.413235,-0.0123382,0.639526,-0.797834,1.56191,-0.05145,-0.0541709,-0.0351534,-0.0286348,-0.0905619,-1.20199,-1.39103,0.538484,0.95568,-0.895614,-0.501236,0.659082,-0.103599,0.57701,-1.29651,-0.116636,-0.24375,-0.592497,-1.02599,0.101738,0.499375,1.60428,-0.162267,0.66886,-1.22155,-0.631609,1.68903,0.838344,-0.563163,-0.106858,-0.341529,-0.269853,-0.198119,-0.465384,0.342928,0.114775,0.923087,-0.165526,0.958939,-0.0221161,0.267963,-1.51814,0.300557,0.0332923,0.460263,-0.113377,0.681897,0.164271,0.515672,-0.0873025,0.707972,-0.471902,-0.840205,-0.00581954,-0.168786,0.212555,-0.612053,-1.15962,-0.641387,0.437448,-1.0651,0.38204,0.38204,1.32724,0.42767,0.385299,0.300557,-1.07162,-0.950931,0.470041,0.734046,0.18974,-0.784797,1.20991,1.07302,0.414633,-0.207897,-1.22806,0.584117,-0.061228,-1.31281,0.277741,0.144109,0.290779,-0.462124,0.629748,0.030033,-0.302418,-0.370863,0.505894,0.219074,-0.180637,1.00783,-0.217675,-0.175304,-0.739167,-0.237231,-1.03251,-0.0970805,0.346187,-0.62835,-0.439309,-0.465384,-1.22155,1.05672,0.880715
-21.1934,0.969091,0.737849,2,3,0,21.2824,-0.00261774,0.746861,0.69089,0.341559,-1.4847,0.938419,2.07699,-0.754848,1.21739,1.10385,0.578356,-0.414248,0.327186,-1.25764,0.425898,-0.28774,-0.242326,-1.0695,-0.793773,-1.07274,1.17522,-0.839187,-0.725654,-0.686728,-1.05977,0.348046,0.523212,0.519968,1.34065,-0.65429,-0.719166,1.5742,0.21505,-0.0704047,0.12098,0.364265,0.844349,0.0917856,-0.955964,1.26929,-0.874869,0.396703,-0.85865,0.266951,0.279926,-0.79053,0.270195,-0.625096,0.669194,-0.618608,-0.97867,0.163149,-0.294227,0.318852,0.425898,1.36336,0.273439,-0.446686,-1.38739,1.39904,-0.213132,-0.560219,0.127467,-0.427223,0.315608,0.0204218,-0.294227,1.14602,0.841105,0.542675,-0.35586,1.27902,0.617282,-0.265033,0.48753,-0.725654,0.568625,1.7072,0.354534,-0.91055,-0.310446,1.18495,-0.453174,0.727663,0.983832,1.05844,1.20441,-0.297471,-0.446686,0.55565,-0.0574295,0.127467,-0.329909,-0.0833799,-1.44578,1.36336,0.896249,-0.955964,0.458336,1.38606,-0.31369,0.195587,1.94075,0.474555,-1.0922,0.0917856,-0.10933,0.0820542,-0.657534,-0.508319,0.76001,-0.706191,-0.641315,-0.0574295,-0.608877,-1.57553,0.221538,-0.482368,0.610795,-0.407761,0.017178,-1.03382,0.0431285,-0.417492,-0.735385,-0.676996,-0.550488,0.0869003,-0.618608,-0.187182,-1.00138,0.35129,0.328583,0.176125,-0.420736,-0.942989,-0.930013,0.302633,-0.988402,-0.407761,-0.00877241,0.639989,-0.79053,1.55799,-0.0476981,-0.050406,-0.031479,-0.0249914,-0.0866237,-1.19276,-1.3809,0.539428,0.954638,-0.887844,-0.495343,0.659452,-0.099599,0.577771,-1.28683,-0.112574,-0.239083,-0.58617,-1.0176,0.104761,0.500505,1.60016,-0.157987,0.669183,-1.21222,-0.625096,1.68449,0.837861,-0.556976,-0.102843,-0.336397,-0.265062,-0.193669,-0.459661,0.344802,0.117736,0.9222,-0.161231,0.957882,-0.0185038,0.270195,-1.50741,0.302633,0.0366409,0.461579,-0.10933,0.682158,0.166996,0.516724,-0.0833799,0.708109,-0.466149,-0.832699,-0.00228479,-0.164475,0.21505,-0.605633,-1.15059,-0.634827,0.438873,-1.05652,0.383728,0.383728,1.32443,0.429141,0.386972,0.302633,-1.06301,-0.942897,0.471311,0.734059,0.192344,-0.777554,1.20765,1.07141,0.416166,-0.203401,-1.21871,0.584844,-0.0574295,-1.30305,0.279926,0.14693,0.292902,-0.456418,0.630257,0.0333971,-0.297471,-0.365591,0.506993,0.221538,-0.17627,1.00654,-0.213132,-0.170963,-0.732141,-0.232595,-1.02408,-0.0931114,0.348046,-0.621852,-0.433711,-0.459661,-1.21222,1.0552,0.88003
