# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = weights_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = weights_4.data.R
# init = 2 (Default)
# random
#   seed = 591737971
# output
#   file = weights_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.866888
# Diagonal elements of inverse mass matrix:
# 0.0781772, 0.00184599, 0.00129857
-746.126,0.920113,0.866888,2,3,0,747.544,154.658,0.889886,4.98995
-745.996,0.953146,0.866888,2,7,0,746.516,154.545,0.915919,5.12138
-748.212,0.739177,0.866888,2,3,0,748.898,154.048,0.934481,5.09748
-747.74,1,0.866888,2,3,0,748.448,154.141,0.938757,5.18436
-747.181,0.988021,0.866888,2,3,0,748.558,155.016,0.900008,5.02985
-746.678,1,0.866888,1,1,0,747.151,154.909,0.894153,5.02377
-746.152,0.86631,0.866888,2,7,0,747.735,154.466,0.924873,5.09529
-747.002,0.909055,0.866888,2,3,0,747.273,154.411,0.87167,4.89539
-746.107,0.905678,0.866888,1,3,0,747.953,154.588,0.893786,5.18635
-746.225,0.973341,0.866888,2,3,0,746.434,154.569,0.880628,5.18098
-747.275,0.751794,0.866888,2,3,0,748.37,154.178,0.905801,4.98869
-746.909,0.758665,0.866888,2,3,0,750.513,154.941,0.879871,5.11358
-747.521,0.911963,0.866888,2,3,0,747.985,154.169,0.922488,5.24309
-751.18,0.644791,0.866888,2,3,0,753.2,154.289,0.896967,5.73148
-746.318,1,0.866888,2,3,0,750.704,154.522,0.940484,5.09683
-749.92,0.589441,0.866888,2,3,0,750.264,153.995,0.83788,5.28413
-747.604,1,0.866888,2,3,0,749.551,154.252,0.856257,5.22468
-750.221,0.75579,0.866888,2,3,0,750.859,155.227,0.980272,5.19333
-746.966,0.98929,0.866888,2,7,0,750.304,154.53,0.866161,4.88466
-746.792,0.925238,0.866888,3,15,0,748.163,154.563,0.952697,5.21856
-747.365,0.805949,0.866888,2,7,0,748.912,154.606,0.882183,5.40632
-747.317,0.983752,0.866888,3,11,0,748.346,154.649,0.906722,4.77711
-754.633,0.291215,0.866888,2,7,0,758.39,154.341,1.07231,5.00504
-746.326,1,0.866888,2,3,0,753.488,154.638,0.901831,5.25345
-746.312,0.817622,0.866888,2,3,0,748.286,154.699,0.873797,5.02761
-749.926,0.743367,0.866888,2,3,0,750.264,154.08,0.954751,4.79835
-747.344,0.990786,0.866888,3,11,0,749.84,154.394,0.938645,4.85109
-747.236,0.86192,0.866888,2,3,0,749.369,154.206,0.899393,4.95774
-748.501,0.783915,0.866888,2,3,0,749.915,154.644,0.8097,5.13845
-746.631,0.972434,0.866888,2,7,0,748.951,154.369,0.87189,5.14564
-746.117,0.913196,0.866888,1,3,0,747.641,154.642,0.929055,5.04508
-746.012,0.920699,0.866888,2,3,0,746.852,154.499,0.895918,5.06791
-746.246,0.977592,0.866888,2,7,0,746.274,154.766,0.916951,5.00188
