# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m13_2_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = m13_2_model_3.data.R
# init = 2 (Default)
# random
#   seed = 2734583014
# output
#   file = m13_2_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_dept.1,a_dept.2,a_dept.3,a_dept.4,a_dept.5,a_dept.6,a,bm,sigma_dept
# Adaptation terminated
# Step size = 0.463076
# Diagonal elements of inverse mass matrix:
# 0.0095482, 0.0120738, 0.00547132, 0.00680332, 0.00837258, 0.0220504, 0.429615, 0.00646498, 0.116982
-2602.38,0.976649,0.463076,3,7,0,2606.48,0.538915,0.636394,-0.538787,-0.547943,-1.07307,-2.85947,-0.237506,-0.0392456,1.93537
-2600.49,0.889583,0.463076,3,7,0,2607,0.638149,0.657002,-0.588406,-0.635548,-1.01736,-2.59231,0.397077,-0.142095,1.27403
-2600.04,1,0.463076,3,7,0,2601.88,0.618288,0.583366,-0.518783,-0.625119,-1.01534,-2.58467,-0.876025,-0.00930913,1.46818
-2600.65,0.771295,0.463076,3,15,0,2604.35,0.674424,0.599357,-0.643533,-0.678936,-1.21433,-2.67914,-1.12304,-0.107368,1.42364
-2600.94,0.951986,0.463076,3,7,0,2602.95,0.646096,0.563839,-0.538088,-0.602282,-0.929125,-2.62216,-0.181313,-0.139833,0.871903
-2602.71,0.807332,0.463076,3,7,0,2607.2,0.554941,0.680297,-0.589193,-0.502963,-1.18196,-2.49849,-0.912325,-0.0210996,1.36556
-2605.39,0.858654,0.463076,3,7,0,2607.47,0.733676,0.532232,-0.501251,-0.752545,-1.19307,-2.73948,-0.374576,-0.168281,0.999513
-2602.35,0.980125,0.463076,3,7,0,2608.41,0.555328,0.618546,-0.520277,-0.54302,-0.966538,-2.56903,-1.48838,-0.0672698,1.95066
-2607.69,0.925244,0.463076,3,7,0,2609.13,0.848695,0.72864,-0.693168,-0.722313,-1.01623,-2.39064,-2.05161,-0.206646,2.40304
-2600.81,0.9477,0.463076,3,7,0,2612.06,0.55956,0.643574,-0.566258,-0.652909,-1.1109,-2.47611,0.0739602,-0.0129062,1.57106
