# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m13_2_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = m13_2_model_4.data.R
# init = 2 (Default)
# random
#   seed = 2734583022
# output
#   file = m13_2_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_dept.1,a_dept.2,a_dept.3,a_dept.4,a_dept.5,a_dept.6,a,bm,sigma_dept
# Adaptation terminated
# Step size = 0.398373
# Diagonal elements of inverse mass matrix:
# 0.00940408, 0.0110179, 0.00505152, 0.00744306, 0.00877007, 0.0189137, 0.354117, 0.00611574, 0.105356
-2600.01,0.800594,0.398373,3,7,0,2606.2,0.656618,0.619515,-0.626697,-0.698106,-1.18622,-2.58333,-0.212831,-0.00901165,1.20359
-2599.87,0.995746,0.398373,3,7,0,2602.5,0.57808,0.46139,-0.656479,-0.648725,-1.06316,-2.56434,-1.09226,-0.00848874,0.916161
-2599.05,0.970013,0.398373,3,7,0,2601.9,0.597028,0.576091,-0.606086,-0.66241,-1.10804,-2.72225,-0.0205677,-0.0179472,1.45481
-2601.02,0.937563,0.398373,3,15,0,2604.11,0.768689,0.695243,-0.655312,-0.569085,-1.22848,-2.59432,-0.417643,-0.155061,1.2948
-2598.16,0.953497,0.398373,2,7,0,2604.64,0.70026,0.630071,-0.550248,-0.595923,-1.04728,-2.61188,-0.527637,-0.128863,1.5404
-2598.41,0.979389,0.398373,3,7,0,2599.2,0.65823,0.707618,-0.573472,-0.576068,-1.07001,-2.66777,-0.448454,-0.127042,1.39264
-2599.91,0.959397,0.398373,3,7,0,2600.49,0.751206,0.595744,-0.556935,-0.715406,-1.08466,-2.43864,-0.63049,-0.0963251,1.29313
-2602.42,0.920215,0.398373,3,7,0,2603.84,0.588803,0.711238,-0.542975,-0.528138,-1.02235,-2.68848,-1.44417,-0.150784,2.08785
-2600.57,0.99409,0.398373,3,15,0,2604.34,0.748366,0.754025,-0.582097,-0.462052,-1.01847,-2.64397,-1.14972,-0.14619,1.34992
-2601.47,0.999816,0.398373,3,7,0,2603.3,0.759165,0.666909,-0.575204,-0.417939,-0.978294,-2.58283,-0.16007,-0.220172,1.10872
-2600.19,0.979628,0.398373,4,23,0,2603.34,0.7065,0.720802,-0.517774,-0.732303,-1.09397,-2.4991,-0.736546,-0.104855,1.29
-2600.04,0.991709,0.398373,3,15,0,2602.33,0.776884,0.713125,-0.642542,-0.490306,-0.965361,-2.61842,-0.388593,-0.187012,1.24351
-2601.22,0.887662,0.398373,3,15,0,2606.11,0.738596,0.741548,-0.394885,-0.605824,-1.03382,-2.46712,-0.505546,-0.198945,1.15486
-2600.81,0.947405,0.398373,3,7,0,2605.08,0.682733,0.645112,-0.464535,-0.560118,-1.06981,-2.63191,-1.06866,-0.124218,2.13513
-2599.21,0.989768,0.398373,3,7,0,2602.67,0.7091,0.689689,-0.662015,-0.639881,-1.01022,-2.49561,-0.39426,-0.120999,0.947764
-2599.77,0.867887,0.398373,3,7,0,2601.85,0.664629,0.579,-0.553617,-0.602439,-0.969396,-2.50302,-0.243049,-0.0639524,1.78072
-2602.29,0.951469,0.398373,3,7,0,2604.21,0.57179,0.591659,-0.460956,-0.603203,-0.994198,-2.62948,-0.00505081,-0.0596514,2.11716
-2603.1,0.979277,0.398373,3,7,0,2606.55,0.763855,0.644778,-0.718922,-0.625518,-1.0263,-2.68146,0.737052,-0.0901282,1.89887
-2600.92,0.996318,0.398373,3,7,0,2605.89,0.581034,0.487127,-0.490239,-0.664705,-0.971756,-2.5581,-0.270531,-0.0531191,1.33073
-2601.44,0.857512,0.398373,3,7,0,2608.7,0.639534,0.636925,-0.589514,-0.722977,-1.19344,-2.61099,0.463853,-0.0299075,1.64075
-2600.86,0.773601,0.398373,4,23,0,2606.78,0.774858,0.65814,-0.526331,-0.656039,-1.06487,-2.5163,0.611295,-0.136704,1.64043
-2601.28,0.987881,0.398373,3,15,0,2603.43,0.635561,0.571761,-0.562688,-0.58281,-1.16133,-2.70886,0.610271,-0.0788894,2.14812
-2599.49,0.86677,0.398373,3,15,0,2607.73,0.633773,0.610066,-0.614291,-0.661468,-0.984082,-2.6533,-1.21358,-0.085176,0.999588
