# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m13_2_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = m13_2_model_2.data.R
# init = 2 (Default)
# random
#   seed = 2734583008
# output
#   file = m13_2_model_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_dept.1,a_dept.2,a_dept.3,a_dept.4,a_dept.5,a_dept.6,a,bm,sigma_dept
# Adaptation terminated
# Step size = 0.467349
# Diagonal elements of inverse mass matrix:
# 0.00935323, 0.0122274, 0.00608918, 0.00698034, 0.00878663, 0.0248117, 0.364059, 0.00631372, 0.103765
-2610.29,0.560218,0.467349,3,7,0,2617.03,0.781918,0.511384,-0.755622,-0.491035,-1.27877,-2.29478,0.0568919,-0.108454,1.00084
-2604.13,0.97302,0.467349,3,7,0,2615.14,0.749753,0.543019,-0.706144,-0.693176,-1.09527,-2.28977,0.0756523,-0.0778959,1.09417
-2602.04,1,0.467349,3,7,0,2607.14,0.662086,0.736541,-0.412426,-0.629846,-0.955341,-2.62635,-0.977794,-0.170656,1.32259
-2605.05,0.866303,0.467349,3,7,0,2608.34,0.748133,0.514823,-0.695542,-0.548456,-0.948771,-2.53663,0.712579,-0.0801227,2.67078
-2601.77,1,0.467349,3,7,0,2605.85,0.747613,0.588625,-0.677931,-0.588189,-1.03707,-2.67189,0.434409,-0.107682,2.25301
-2600.27,0.956333,0.467349,3,7,0,2604.93,0.630104,0.62305,-0.629565,-0.683788,-1.06396,-2.42088,0.0294225,-0.0803703,1.74671
-2600.58,0.976956,0.467349,3,15,0,2602.55,0.661198,0.607281,-0.590161,-0.615571,-1.02519,-2.27667,-0.251086,-0.0992523,1.4138
-2598.93,0.989833,0.467349,3,7,0,2602.78,0.688579,0.548722,-0.654862,-0.637914,-1.09028,-2.50656,-0.880711,-0.0468976,1.14698
-2601.57,0.813063,0.467349,3,7,0,2603.71,0.737628,0.619538,-0.628971,-0.788712,-1.06365,-2.45615,-0.812515,-0.112327,1.08273
-2603.27,0.908315,0.467349,3,7,0,2606.93,0.502131,0.499599,-0.573953,-0.518451,-1.05528,-2.90364,-0.798386,0.0301084,1.35332
-2600.65,0.979055,0.467349,3,15,0,2606.05,0.592529,0.446763,-0.676722,-0.699783,-1.00536,-2.84766,-0.816261,0.00558008,1.04051
-2599.91,0.998909,0.467349,3,7,0,2602.36,0.622869,0.477621,-0.705684,-0.673413,-1.04125,-2.76332,-0.816306,-0.0154138,1.10176
-2599.68,0.909066,0.467349,3,15,0,2602.85,0.765699,0.65902,-0.487777,-0.555508,-1.10403,-2.53023,-0.584658,-0.131747,1.62922
-2604.34,0.87558,0.467349,3,7,0,2605.28,0.685858,0.546042,-0.434201,-0.545352,-1.1519,-2.44643,-0.263058,-0.130341,2.48484
-2603.06,0.998694,0.467349,3,7,0,2606.04,0.679785,0.776382,-0.705881,-0.651808,-0.921228,-2.76576,-0.473335,-0.142704,0.948604
-2603.03,0.958808,0.467349,3,7,0,2605.81,0.714889,0.725359,-0.710997,-0.625698,-0.934826,-2.74817,-0.606593,-0.0857754,0.79014
-2602.73,0.953964,0.467349,3,7,0,2607.19,0.567457,0.419278,-0.476809,-0.634857,-1.00705,-2.47914,-0.915618,-0.0514793,1.37844
-2600.96,0.980289,0.467349,3,7,0,2607.21,0.611564,0.637066,-0.533311,-0.725371,-1.2088,-2.60175,-1.15113,-0.0270797,1.50266
-2599.81,0.931803,0.467349,3,7,0,2605.65,0.662624,0.532005,-0.591576,-0.536592,-1.05229,-2.74034,-0.175082,-0.0530419,1.06235
-2600.32,0.955149,0.467349,3,7,0,2601.51,0.650135,0.624436,-0.604599,-0.738768,-1.10386,-2.55349,-1.44039,-0.0457752,1.67944
-2603.67,0.744352,0.467349,3,7,0,2606.63,0.662705,0.655221,-0.496376,-0.591877,-0.967405,-2.48068,0.581832,-0.207341,1.15269
-2603.91,0.992749,0.467349,3,7,0,2607.03,0.822075,0.777803,-0.594558,-0.510478,-0.897735,-2.47967,-1.82841,-0.156896,1.51106
-2599.39,0.989158,0.467349,3,7,0,2606.74,0.642713,0.614639,-0.641668,-0.562055,-1.0624,-2.4688,0.000733451,-0.0787603,1.38877
-2601.44,0.900179,0.467349,3,7,0,2603.28,0.638242,0.637648,-0.529626,-0.751207,-1.13431,-2.35822,-0.877718,-0.0778938,1.29462
-2601.74,0.988601,0.467349,3,15,0,2604.06,0.575659,0.445925,-0.669934,-0.562212,-1.10706,-2.73265,-0.407819,0.0196217,0.798442
-2605.17,0.494327,0.467349,4,23,0,2609.08,0.733043,0.651899,-0.509173,-0.514118,-0.917944,-2.70465,-3.03248,-0.173525,2.8169
-2604.1,0.971064,0.467349,3,7,0,2607.43,0.685067,0.761184,-0.537389,-0.491191,-1.14832,-2.61234,-2.37636,-0.138645,2.81314
-2600.67,0.798241,0.467349,3,15,0,2612.29,0.639335,0.605575,-0.682493,-0.669715,-1.13669,-2.64458,-0.613169,-0.0628002,0.725327
-2604.65,0.645063,0.467349,3,7,0,2609.74,0.565575,0.718567,-0.538995,-0.542731,-1.03624,-2.59683,-1.3456,-0.0839779,3.61052
-2600.99,0.987088,0.467349,3,15,0,2607.38,0.764775,0.703309,-0.551887,-0.501871,-0.976992,-2.60731,-0.879573,-0.173981,2.45821
-2601.53,0.850104,0.467349,3,15,0,2605.62,0.556106,0.627929,-0.60325,-0.722484,-1.15022,-2.52668,-0.753545,-0.00959628,0.694337
-2606.49,0.691418,0.467349,3,7,0,2608.27,0.916506,0.530978,-0.547458,-0.555807,-0.984848,-2.70846,-0.343237,-0.133218,2.55594
-2608.45,0.969592,0.467349,3,7,0,2611.64,0.558609,0.901611,-0.608555,-0.685928,-1.03768,-2.7234,-0.533057,-0.16102,0.712121
-2608.91,0.999554,0.467349,3,7,0,2612.47,0.694734,0.284777,-0.628534,-0.590665,-1.16758,-2.51941,-0.591468,-0.0617744,2.80688
-2604.67,1,0.467349,3,7,0,2610.57,0.575868,0.853675,-0.584562,-0.699977,-1.09789,-2.5738,-1.56868,-0.0934341,1.96794
-2608.7,0.97527,0.467349,3,7,0,2610.54,0.956932,0.624128,-0.498152,-0.428447,-0.869724,-2.64977,0.349874,-0.287971,0.988986
-2605.26,1,0.467349,3,7,0,2613.55,0.583997,0.851454,-0.581092,-0.648163,-0.967445,-2.56595,-0.98521,-0.122243,2.8524
-2606.21,0.793215,0.467349,3,7,0,2612.74,0.939349,0.709348,-0.483601,-0.437394,-1.0736,-2.49748,-0.119294,-0.269035,0.689288
-2602.94,0.633865,0.467349,3,7,0,2612.49,0.91072,0.895334,-0.519373,-0.62699,-0.982076,-2.54414,-0.998019,-0.285827,1.30709
-2602.31,0.898946,0.467349,3,15,0,2607.68,0.731546,0.720406,-0.574629,-0.592447,-0.918465,-2.2628,-0.0411747,-0.169004,0.810999
-2602.66,0.957226,0.467349,4,23,0,2608.27,0.907533,0.869274,-0.493022,-0.528047,-1.11374,-2.62028,-0.99704,-0.256856,1.70133
-2603.17,0.798503,0.467349,3,7,0,2612.47,0.711116,0.680418,-0.482426,-0.640164,-0.78664,-2.49857,-0.260095,-0.111145,1.01341
-2604.42,0.926547,0.467349,3,7,0,2609.7,0.661104,0.572274,-0.670314,-0.581876,-1.3651,-2.73162,-0.798699,-0.0118307,1.72452
-2602.09,0.951878,0.467349,3,7,0,2610.28,0.626221,0.624775,-0.47232,-0.752434,-0.973304,-2.43126,-0.341828,-0.0503527,1.02668
-2601.76,0.922719,0.467349,3,7,0,2607.61,0.74597,0.770993,-0.553885,-0.532684,-1.20842,-2.62679,-1.1656,-0.198247,1.8537
-2604.43,0.885248,0.467349,3,7,0,2609.99,0.769563,0.696545,-0.608814,-0.644015,-0.74752,-2.43097,-0.858609,-0.180664,1.46943
-2605.94,0.832309,0.467349,3,7,0,2610.68,0.734962,0.618175,-0.534228,-0.66371,-1.34966,-2.80751,-0.374342,-0.164951,1.04359
-2601.26,1,0.467349,3,7,0,2608.9,0.53918,0.543864,-0.70691,-0.606005,-1.06605,-2.67104,-1.01727,0.0597658,1.17879
-2600.46,0.882987,0.467349,3,15,0,2606.07,0.502332,0.529082,-0.68423,-0.6499,-0.9653,-2.68452,-0.603346,-0.00729348,1.1664
-2600.42,0.82358,0.467349,3,7,0,2604.47,0.697981,0.561765,-0.667025,-0.752586,-1.04683,-2.72498,-0.479447,-0.0793787,1.1368
-2601.05,0.881396,0.467349,3,7,0,2605.17,0.793897,0.787702,-0.475578,-0.525278,-1.12932,-2.63632,-0.812703,-0.149214,1.39489
-2600.62,0.981814,0.467349,3,7,0,2606.14,0.636265,0.638337,-0.477979,-0.66678,-1.22325,-2.60153,-0.73463,-0.0904636,1.26722
-2602.87,0.731738,0.467349,3,7,0,2606.95,0.562745,0.618877,-0.715929,-0.657267,-0.953586,-2.87416,-0.132324,-0.0708614,1.26375
-2599.59,0.983693,0.467349,3,7,0,2605.06,0.641805,0.494275,-0.547591,-0.68892,-1.12262,-2.56345,-1.18026,-0.0401089,1.17591
-2599.33,0.933141,0.467349,3,7,0,2601.64,0.558108,0.507106,-0.604201,-0.651947,-1.07032,-2.70493,-0.367939,0.0377596,1.24724
-2600.69,0.817942,0.467349,3,15,0,2604.07,0.656329,0.644541,-0.557217,-0.554395,-1.17706,-2.40701,-0.832373,-0.057645,0.922905
-2600.45,0.911575,0.467349,3,7,0,2603.12,0.696608,0.637435,-0.606865,-0.680204,-0.969274,-2.796,-0.152035,-0.0492457,1.6549
-2600.62,0.884088,0.467349,3,7,0,2604.73,0.648391,0.745484,-0.469493,-0.629803,-1.10572,-2.62591,-0.677054,-0.174061,1.22762
-2603.54,0.76648,0.467349,2,7,0,2609.87,0.682157,0.799509,-0.472918,-0.775418,-1.09766,-2.60352,-0.540221,-0.165538,1.41843
-2604.18,0.933327,0.467349,4,23,0,2611.48,0.825533,0.65789,-0.633496,-0.374698,-1.09751,-2.51956,-0.924258,-0.199844,1.69571
-2598.72,0.996923,0.467349,3,7,0,2605.13,0.656493,0.713291,-0.586253,-0.640016,-0.965763,-2.53274,-0.342793,-0.11259,1.06461
-2601.17,0.820109,0.467349,3,7,0,2603.08,0.623904,0.607597,-0.532132,-0.564868,-0.940393,-2.91605,-0.675863,-0.0831995,1.17943
-2601.62,0.958258,0.467349,3,7,0,2603.35,0.729258,0.574798,-0.636644,-0.677572,-1.16723,-2.30888,-0.770395,-0.0978933,1.33356
-2601.36,0.580074,0.467349,3,7,0,2607.47,0.651238,0.638316,-0.538524,-0.568114,-0.932705,-2.90116,-0.190522,-0.12613,1.48034
-2600.69,0.953049,0.467349,3,7,0,2604.24,0.596702,0.668066,-0.626822,-0.511441,-1.01722,-2.72906,-0.789138,-0.0499793,1.54761
-2605.26,0.910149,0.467349,3,7,0,2609.37,0.567841,0.289813,-0.659766,-0.709521,-1.0302,-2.3649,-0.266488,0.0452561,0.848827
-2609.82,0.29023,0.467349,4,23,0,2618.92,0.680746,0.662142,-0.568884,-0.488877,-1.12087,-2.74937,-0.863839,-0.263637,3.8376
-2604.25,0.661261,0.467349,3,7,0,2619.8,0.666209,0.604863,-0.562798,-0.754255,-1.12662,-2.39347,-2.33459,-0.0693818,1.83077
-2605.42,0.871293,0.467349,3,7,0,2609.89,0.684332,0.37556,-0.585102,-0.690302,-1.01976,-2.38217,-1.52816,-0.0611012,2.17669
-2603.48,0.738353,0.467349,3,7,0,2612.25,0.580554,0.490492,-0.588808,-0.660237,-1.00773,-2.4515,-1.4453,-0.124218,1.68959
-2602.11,1,0.467349,3,7,0,2604.73,0.790562,0.663333,-0.597811,-0.595799,-1.00361,-2.52456,-1.08857,-0.0549401,1.73282
-2599.44,0.94444,0.467349,3,7,0,2606.06,0.574273,0.573138,-0.617051,-0.645087,-1.01293,-2.56308,-0.381661,0.0120334,0.954758
-2600.37,0.720969,0.467349,4,19,0,2603.61,0.615115,0.724099,-0.533908,-0.549008,-1.09571,-2.65728,-0.225709,-0.071419,1.64906
-2602.54,0.719749,0.467349,3,15,0,2607.83,0.599271,0.542583,-0.632836,-0.628829,-1.03156,-2.67366,-0.997181,0.0716713,0.864276
-2608.44,0.81447,0.467349,2,3,0,2609.91,0.417061,0.457944,-0.752579,-0.538363,-0.972626,-2.73151,-0.651235,-0.0539942,0.96347
-2602.06,1,0.467349,2,3,0,2610.53,0.547072,0.46633,-0.719796,-0.556545,-1.00079,-2.74145,-0.232069,-0.00731621,1.08372
